dataset,n,m,components,giant,w_min,w_max,w_med,cycle_bound,is_metric,nonmetric_frac,broken_cycles,note
ripe_atlas,999,442707,1,999,0.1331,998.0179,133.0905,7499,False,0.9531,skipped,IPv4 ping mesh; weight=min RTT ms
bct_coactivation,638,18625,1,638,2.9804,64.2,21.7143,22,False,0.4354,skipped,638-node fMRI; d=1/similarity
nmr_1d3z_atom,430,1357,3,426,2.191,6.249,4.361,3,False,0.0111,skipped,"NOE upper bounds; node=(resid,atomgroup)"
nmr_1d3z_residue,75,308,1,75,2.191,6.234,3.756,3,False,0.0519,19,NOE upper bounds; min over atom pairs; node=residue
pbmc3k_cosine_knn,2700,31639,1,2700,0.0185,0.6675,0.3103,37,False,0.0021,skipped,log-CPM->PCA50->cosine kNN k=15
cassiopeia_barcode_knn,1000,12760,1,1000,0.0,1.0,0.0,1000001,False,0.3071,skipped,barcode dissimilarity kNN k=15 on 1000 cells
fish1_ten,1000,1175,1,1000,0.0714,1.0,1.0,15,False,0.0179,skipped,TEN core BFS ball; d=1/synapse count
flycns_male,1200,14025,1,1200,0.0008,1.0,0.3333,1323,False,0.8312,skipped,Traced BFS ball; d=1/(sum synapse counts both dirs)
dimacs_ny_d,5000,6017,1,5000,13.0,17219.0,1317.0,1325,True,0.0,skipped,BFS ball n=5000; weight=meters
dimacs_ny_t,5000,6017,1,5000,30.0,43048.0,3144.0,1435,False,0.0028,skipped,BFS ball n=5000; weight=travel-time
