u,v,weight
0,1,6.222222222222221
0,2,8.96969696969697
0,4,7.241379310344827
0,9,29.11111111111111
0,23,28.77777777777778
0,24,28.75
0,59,30.0
0,81,28.2
0,84,26.3
0,86,17.3125
0,137,23.0
0,138,16.5
0,153,26.636363636363633
0,158,22.538461538461537
0,159,29.249999999999996
0,162,11.047619047619047
0,173,29.0
0,232,24.63157894736842
0,234,21.07142857142857
0,297,30.571428571428573
0,299,25.22222222222222
0,306,16.928571428571427
0,307,29.5
0,454,28.071428571428573
0,508,26.5
0,526,23.916666666666664
0,627,24.071428571428573
0,632,6.342105263157895
0,633,18.5625
0,634,20.25
0,636,19.818181818181817
0,637,9.88888888888889
1,2,14.65
1,4,23.77777777777778
1,9,27.333333333333336
1,14,25.857142857142858
1,99,21.0
1,105,28.71428571428571
1,136,28.666666666666668
1,138,26.714285714285715
1,150,27.571428571428573
1,153,9.666666666666666
1,158,23.166666666666664
1,159,15.142857142857142
1,162,9.772727272727273
1,165,9.565217391304348
1,171,26.833333333333332
1,182,25.714285714285715
1,183,29.599999999999998
1,428,21.90909090909091
1,468,28.28571428571429
1,508,24.9
1,564,27.333333333333336
1,627,24.76923076923077
1,632,8.392857142857142
1,633,23.75
1,637,14.444444444444443
2,3,4.4603174603174605
2,7,18.923076923076923
2,13,28.3
2,16,11.142857142857142
2,19,11.113636363636363
2,23,23.692307692307693
2,42,25.5
2,60,26.692307692307693
2,73,23.105263157894736
2,89,28.636363636363637
2,90,29.666666666666668
2,103,22.42857142857143
2,107,30.777777777777782
2,121,18.954545454545457
2,123,24.636363636363637
2,131,25.0
2,160,25.6
2,164,33.857142857142854
2,169,15.888888888888888
2,192,30.22222222222222
2,230,16.61904761904762
2,231,23.35
2,232,21.5
2,235,19.400000000000002
2,236,20.944444444444446
2,237,19.724137931034484
2,416,21.65217391304348
2,454,20.904761904761905
2,465,23.157894736842106
2,492,21.583333333333336
2,493,28.9
2,625,24.30769230769231
2,629,21.26086956521739
2,633,6.1764705882352935
2,634,9.620689655172415
2,635,29.3
3,6,25.461538461538463
3,7,20.818181818181817
3,13,18.615384615384613
3,16,5.840579710144928
3,20,19.8125
3,57,25.071428571428573
3,78,25.363636363636367
3,91,25.5
3,101,30.0
3,115,25.0
3,121,17.227272727272727
3,128,24.923076923076923
3,154,25.27777777777778
3,164,33.333333333333336
3,227,31.71428571428572
3,230,25.0
3,231,22.63157894736842
3,233,28.09090909090909
3,235,23.142857142857146
3,236,22.8
3,237,24.59090909090909
3,364,27.599999999999998
3,396,29.22222222222222
3,453,24.466666666666665
3,464,27.538461538461537
3,465,20.05
3,485,25.76
3,491,23.833333333333332
3,621,24.500000000000004
3,622,23.75
3,623,22.15
3,625,19.78571428571429
3,627,27.153846153846157
3,629,20.545454545454547
3,634,13.210526315789473
3,635,9.192307692307692
4,11,27.833333333333336
4,17,30.0
4,23,27.875
4,53,24.555555555555554
4,56,22.666666666666664
4,58,29.0
4,59,29.0
4,84,6.151515151515151
4,162,23.0
4,173,20.625
4,225,28.5
4,226,22.538461538461537
4,227,28.5
4,234,26.2
4,307,16.25
4,431,19.692307692307693
4,443,29.166666666666664
4,451,20.5
4,470,22.75
4,498,29.599999999999998
4,526,22.818181818181817
4,540,38.0
4,545,29.0
4,627,30.400000000000002
4,632,15.133333333333333
4,636,9.666666666666666
4,637,18.76923076923077
5,6,17.0
5,9,16.75
5,10,12.944444444444443
5,12,4.680000000000001
5,17,9.727272727272727
5,18,7.794117647058823
5,81,26.727272727272727
5,135,27.769230769230766
5,158,25.583333333333336
5,233,18.875
5,238,21.933333333333334
5,240,20.23076923076923
5,324,32.0
5,329,20.23529411764706
5,368,24.53333333333333
5,369,17.333333333333332
5,370,19.571428571428573
5,372,16.1
5,375,21.0
5,380,22.555555555555554
5,381,31.28571428571429
5,383,25.4
5,386,27.857142857142858
5,393,27.454545454545457
5,396,29.0
5,402,25.750000000000004
5,404,12.620689655172413
5,406,17.22222222222222
5,408,11.913043478260871
5,409,27.428571428571427
5,410,17.666666666666668
5,412,26.0
5,415,23.454545454545453
5,419,19.0
5,420,27.0
5,462,28.444444444444443
5,472,21.333333333333332
5,473,18.63157894736842
5,476,23.454545454545453
5,477,26.0
5,480,27.299999999999997
5,481,11.212765957446807
5,487,15.9375
5,495,25.3
5,496,17.692307692307693
5,498,32.833333333333336
5,499,29.0
5,503,27.81818181818182
5,505,25.833333333333332
5,506,23.727272727272727
5,511,27.636363636363637
5,606,27.81818181818182
5,612,21.07142857142857
5,621,25.88235294117647
5,622,21.40909090909091
5,623,26.117647058823533
5,629,26.764705882352942
5,634,25.8
6,7,6.194444444444445
6,12,6.714285714285714
6,16,10.59090909090909
6,18,11.107142857142858
6,19,23.22727272727273
6,20,5.745454545454545
6,43,23.058823529411764
6,46,26.769230769230766
6,128,22.4375
6,135,17.0
6,192,30.22222222222222
6,228,22.125
6,231,17.037037037037038
6,232,24.714285714285715
6,233,18.88888888888889
6,234,18.052631578947366
6,237,14.41025641025641
6,238,18.2
6,240,23.307692307692307
6,241,23.727272727272727
6,308,15.0
6,309,18.666666666666668
6,329,15.040000000000001
6,345,25.866666666666667
6,355,35.0
6,368,19.142857142857142
6,369,20.764705882352942
6,370,24.23076923076923
6,371,22.9375
6,372,18.1
6,374,22.714285714285715
6,377,20.6
6,378,43.4
6,380,35.0
6,381,28.555555555555554
6,383,24.333333333333336
6,386,33.57142857142857
6,387,25.384615384615387
6,394,23.076923076923077
6,396,24.833333333333336
6,404,18.772727272727273
6,405,24.944444444444443
6,406,18.36842105263158
6,408,27.083333333333332
6,410,17.782608695652172
6,436,27.36363636363636
6,452,13.258064516129032
6,453,20.0
6,455,14.333333333333334
6,463,23.0625
6,464,26.266666666666666
6,465,18.956521739130434
6,472,18.736842105263158
6,474,17.41176470588235
6,475,17.76470588235294
6,476,21.07142857142857
6,477,17.17391304347826
6,478,16.555555555555554
6,479,15.619047619047619
6,480,14.380952380952381
6,481,10.163636363636362
6,487,24.916666666666664
6,488,18.42857142857143
6,491,21.642857142857146
6,494,24.523809523809522
6,495,24.25
6,496,14.93939393939394
6,497,26.5
6,500,17.608695652173914
6,502,21.46666666666667
6,504,23.307692307692307
6,505,15.454545454545453
6,506,21.285714285714285
6,510,17.833333333333332
6,527,26.454545454545457
6,598,27.900000000000002
6,614,22.133333333333333
6,620,19.473684210526315
6,621,17.40740740740741
6,622,11.690476190476192
6,623,18.26923076923077
6,625,19.5625
6,628,16.384615384615383
6,629,14.515151515151514
6,630,12.218749999999998
6,635,9.448275862068966
7,13,32.0
7,16,6.098901098901099
7,19,7.688311688311688
7,20,12.702702702702702
7,37,16.3030303030303
7,38,15.464285714285714
7,39,18.51851851851852
7,41,14.075000000000001
7,43,20.799999999999997
7,44,22.0
7,50,16.34285714285714
7,57,22.434782608695652
7,63,21.344827586206897
7,65,19.741935483870968
7,66,23.3
7,68,16.89189189189189
7,76,21.333333333333332
7,77,33.5
7,79,26.611111111111114
7,87,19.166666666666668
7,88,21.65
7,91,22.105263157894736
7,95,28.25
7,98,22.8
7,100,14.394736842105264
7,102,33.416666666666664
7,104,18.041666666666664
7,116,28.0
7,121,19.535714285714285
7,124,17.689655172413794
7,125,24.722222222222225
7,126,23.523809523809526
7,128,19.439999999999998
7,154,4.626086956521739
7,160,23.31818181818182
7,184,33.5
7,202,21.07142857142857
7,230,9.814814814814815
7,231,13.488372093023257
7,232,9.4
7,234,21.636363636363637
7,235,9.119047619047619
7,236,19.423076923076923
7,237,10.6984126984127
7,238,23.761904761904763
7,296,21.708333333333332
7,308,17.97142857142857
7,309,18.0
7,319,50.85714285714286
7,328,18.72972972972973
7,331,20.962962962962962
7,332,21.791666666666664
7,333,21.08
7,334,20.125
7,344,19.42857142857143
7,346,18.38235294117647
7,348,26.333333333333332
7,350,21.0
7,353,21.400000000000002
7,357,23.047619047619047
7,358,23.55
7,373,20.875
7,374,23.63157894736842
7,387,27.176470588235293
7,393,23.45
7,397,13.5
7,398,15.864864864864867
7,399,17.625
7,400,18.095238095238095
7,401,12.4
7,403,20.28571428571429
7,405,19.79310344827586
7,407,17.636363636363637
7,414,23.666666666666668
7,416,14.27906976744186
7,418,14.648648648648647
7,421,22.833333333333332
7,434,29.133333333333333
7,436,28.86666666666667
7,447,24.500000000000004
7,452,15.514285714285714
7,454,21.074074074074076
7,459,27.687500000000004
7,462,28.4
7,463,21.65217391304348
7,464,23.772727272727273
7,465,19.517241379310345
7,473,22.869565217391305
7,475,22.94736842105263
7,477,23.08695652173913
7,479,23.249999999999996
7,480,20.857142857142858
7,481,18.736842105263158
7,482,11.181818181818182
7,485,7.0285714285714285
7,488,16.435897435897434
7,491,12.75
7,492,30.307692307692307
7,494,13.608695652173914
7,496,18.470588235294116
7,497,33.25
7,500,19.142857142857142
7,501,26.333333333333332
7,503,22.476190476190478
7,509,24.42105263157895
7,527,28.2
7,590,24.842105263157897
7,598,31.692307692307693
7,615,23.5
7,619,21.041666666666668
7,621,14.439024390243903
7,622,12.653061224489797
7,623,11.25
7,624,29.066666666666666
7,625,26.35294117647059
7,628,18.6
7,629,11.96
7,630,14.971428571428572
7,631,26.22222222222222
7,633,13.76470588235294
7,635,11.911764705882353
8,10,28.799999999999997
8,11,4.260869565217391
8,21,22.2
8,32,25.8
8,83,26.57142857142857
8,99,23.5
8,123,27.0
8,134,20.666666666666668
8,180,27.25
8,184,26.2
8,222,25.833333333333332
8,223,24.857142857142858
8,247,25.6
8,251,29.8
8,256,23.75
8,276,32.6
8,323,8.8
8,324,23.0
8,371,33.42857142857143
8,389,20.6
8,406,36.66666666666667
8,435,9.9
8,438,14.222222222222221
8,449,21.0
8,456,32.4
8,495,31.200000000000003
8,502,31.5
8,510,31.833333333333336
8,579,28.25
9,10,18.416666666666668
9,11,6.884615384615384
9,13,9.681818181818182
9,17,14.57142857142857
9,22,22.363636363636363
9,23,3.9622641509433962
9,25,24.6
9,81,21.076923076923077
9,83,24.181818181818183
9,86,25.18181818181818
9,99,27.875
9,133,27.0
9,134,18.454545454545453
9,136,30.5
9,137,29.14285714285714
9,142,28.142857142857142
9,144,22.555555555555554
9,145,22.22222222222222
9,146,30.333333333333332
9,153,26.18181818181818
9,158,15.722222222222223
9,216,29.285714285714285
9,219,27.1
9,220,15.812500000000002
9,221,12.736842105263158
9,222,23.5
9,223,16.666666666666668
9,225,28.77777777777778
9,276,24.2
9,287,24.444444444444443
9,293,27.125
9,295,28.857142857142854
9,333,26.538461538461537
9,339,23.666666666666668
9,427,19.384615384615387
9,428,19.23076923076923
9,431,14.842105263157896
9,432,23.7
9,438,11.277777777777777
9,443,22.666666666666664
9,446,18.916666666666668
9,451,23.7
9,508,29.0
9,543,28.57142857142857
9,550,28.625
9,556,17.846153846153847
9,559,29.14285714285714
9,560,18.076923076923077
9,566,17.0
9,569,23.77777777777778
9,632,23.90909090909091
9,633,19.533333333333335
9,636,21.400000000000002
9,637,25.272727272727273
10,11,13.333333333333334
10,12,28.125
10,15,7.095238095238096
10,17,9.277777777777777
10,18,21.545454545454543
10,81,17.142857142857142
10,185,24.0
10,210,31.25
10,213,26.555555555555554
10,228,26.9
10,239,25.750000000000004
10,240,24.0
10,308,32.61538461538461
10,320,26.333333333333332
10,321,21.57142857142857
10,323,28.799999999999997
10,369,12.950000000000001
10,372,23.249999999999996
10,378,31.75
10,391,25.833333333333332
10,396,20.9
10,402,26.166666666666668
10,404,25.461538461538463
10,406,29.77777777777778
10,408,14.375
10,409,20.142857142857142
10,410,30.0
10,427,28.0
10,428,22.0
10,472,24.818181818181817
10,473,23.76923076923077
10,477,17.166666666666668
10,478,21.5
10,487,10.578947368421053
10,490,22.5
10,495,20.2
10,496,32.46153846153846
10,497,29.666666666666668
10,498,29.4
10,500,21.46666666666667
10,503,25.6
10,504,24.0
10,505,26.1
10,506,19.09090909090909
10,510,26.555555555555554
10,566,24.125
10,606,28.555555555555554
10,615,27.36363636363636
10,620,23.833333333333332
10,622,23.555555555555557
10,637,20.333333333333332
11,14,18.714285714285715
11,15,16.75
11,18,30.428571428571427
11,21,10.583333333333334
11,25,26.857142857142858
11,81,27.25
11,82,23.666666666666668
11,83,14.428571428571427
11,86,31.42857142857143
11,90,25.166666666666664
11,99,14.454545454545455
11,105,25.333333333333336
11,134,16.0
11,137,29.0
11,144,29.200000000000003
11,145,23.666666666666668
11,155,25.666666666666668
11,156,22.833333333333332
11,162,30.166666666666668
11,171,28.25
11,180,21.666666666666664
11,196,30.666666666666668
11,215,25.833333333333332
11,219,30.428571428571427
11,220,25.0
11,221,24.0
11,222,22.0
11,223,19.400000000000002
11,276,22.875
11,277,26.6
11,287,23.0
11,295,20.142857142857142
11,297,24.833333333333336
11,313,29.0
11,323,29.249999999999996
11,324,28.75
11,339,22.5
11,427,19.400000000000002
11,428,24.25
11,430,30.333333333333332
11,431,23.0
11,433,24.285714285714285
11,434,27.142857142857146
11,436,26.57142857142857
11,438,7.888888888888889
11,448,28.0
11,456,26.142857142857142
11,466,30.833333333333332
11,468,24.833333333333336
11,550,28.333333333333332
11,560,30.166666666666668
11,569,26.0
11,579,27.0
11,598,27.333333333333336
11,637,24.333333333333336
12,16,27.25
12,17,30.14285714285714
12,18,5.853658536585366
12,135,28.666666666666668
12,233,17.75
12,237,27.578947368421055
12,238,28.636363636363637
12,240,22.454545454545457
12,241,20.4
12,248,28.888888888888886
12,309,24.875
12,321,26.285714285714285
12,355,23.249999999999996
12,369,21.285714285714285
12,372,19.25
12,380,31.333333333333336
12,386,29.666666666666668
12,395,27.714285714285715
12,402,20.77777777777778
12,404,21.176470588235293
12,408,16.4375
12,415,24.1
12,417,30.333333333333332
12,419,28.111111111111107
12,472,14.095238095238097
12,473,26.30769230769231
12,474,24.500000000000004
12,479,28.099999999999998
12,480,23.09090909090909
12,481,14.027027027027028
12,495,21.272727272727273
12,510,20.615384615384613
12,588,34.0
12,612,28.099999999999998
12,622,21.61904761904762
12,623,23.61111111111111
12,627,22.066666666666666
12,628,25.266666666666666
12,629,27.375
12,634,21.727272727272727
12,635,26.22222222222222
13,14,23.0
13,15,18.11111111111111
13,16,29.071428571428573
13,17,11.466666666666667
13,18,26.77777777777778
13,21,11.071428571428573
13,24,21.444444444444446
13,34,28.0
13,50,30.833333333333332
13,57,30.400000000000002
13,73,27.384615384615387
13,88,27.5
13,89,28.625
13,93,28.5
13,101,26.666666666666668
13,115,19.333333333333332
13,117,29.833333333333332
13,121,24.0
13,123,26.57142857142857
13,124,23.384615384615383
13,128,27.599999999999998
13,137,29.0
13,138,28.0
13,173,23.857142857142858
13,188,30.0
13,236,24.500000000000004
13,309,22.9375
13,332,28.272727272727273
13,348,28.666666666666668
13,425,23.285714285714285
13,449,29.833333333333332
13,452,31.090909090909093
13,501,28.666666666666668
13,503,21.333333333333332
13,504,24.22222222222222
13,507,24.11111111111111
13,508,28.875
13,509,20.5
13,528,21.76923076923077
13,563,25.125
13,596,29.333333333333336
13,618,28.5
13,623,30.692307692307693
13,628,29.249999999999996
13,633,24.181818181818183
14,17,29.200000000000003
14,21,6.0
14,22,26.142857142857142
14,23,14.076923076923078
14,24,10.066666666666666
14,80,35.125
14,81,30.428571428571427
14,82,27.400000000000002
14,83,22.333333333333336
