u,v,weight
0,1,0.7360722262769791
0,2,1.1017970057356297
0,4,0.8877568136090439
0,9,2.279065039302927
0,23,2.2675485972413676
0,24,2.2665828801214087
0,59,2.309142494540205
0,81,2.2472670908221173
0,84,2.177514052061768
0,86,1.7593738968256067
0,137,2.043439328807199
0,138,1.7113054937845842
0,153,2.190222449096746
0,158,2.02316836443358
0,159,2.283824686555915
0,162,1.3101600468209365
0,173,2.2752409428645235
0,232,2.1119744296292557
0,234,1.9558631396026107
0,297,2.3280109788445875
0,299,2.1356705530232327
0,306,1.736947924397922
0,307,2.2923353762238237
0,454,2.242697395132052
0,508,2.185089845870226
0,526,2.0825206788496704
0,627,2.0889707136151525
0,632,0.7551558866423186
0,633,1.8290885294409678
0,634,1.9160999064305977
0,636,1.894544902868768
0,637,1.1993569052739699
1,2,1.5923854483411257
1,4,2.0766965505636814
1,9,2.2160520714741927
1,14,2.160531995088562
1,99,1.9524675506014726
1,105,2.265339871881812
1,136,2.2636801204634476
1,138,2.1931435806773227
1,150,2.224725152727622
1,153,1.1766286541964137
1,158,2.0506595767806863
1,159,1.6254740579348033
1,162,1.1875406876473962
1,165,1.1660784433012612
1,171,2.1975900086344575
1,182,2.1549918147129463
1,183,2.2957194742080644
1,428,1.994846773570334
1,468,2.2503019945172715
1,508,2.1228129163487113
1,564,2.2160520714741927
1,627,2.117547300960921
1,632,1.0353261168470045
1,633,2.0755276433586998
1,637,1.5782549859974124
2,3,0.40316505582026246
2,7,1.8483272913488755
2,13,2.250806917527241
2,16,1.3187437905123278
2,19,1.3161179684346602
2,23,2.073095538390087
2,42,2.14662356504243
2,60,2.192320535363372
2,73,2.04800554678678
2,89,2.2626224789053118
2,90,2.29796919394208
2,103,2.018280769171044
2,107,2.3347380417291688
2,121,1.8499888813185352
2,123,2.1121686609593797
2,131,2.1268209377462504
2,160,2.150537464363566
2,164,2.4300951049578674
2,169,1.6735651658017372
2,192,2.316522601837827
2,230,1.7184945973570536
2,231,2.058542096992956
2,232,1.9759980480116666
2,235,1.873218178947332
2,236,1.9498185424298955
2,237,1.8897882742713734
2,416,1.9830509739735527
