u,v,weight
0,16,1e-06
0,20,1e-06
0,54,1e-06
0,63,1e-06
0,80,1e-06
0,106,1e-06
0,134,1e-06
0,156,1e-06
0,167,1e-06
0,168,1e-06
0,170,1e-06
0,171,1e-06
0,179,1e-06
0,186,1e-06
0,199,1e-06
0,219,1e-06
0,238,1e-06
0,284,1e-06
0,309,1e-06
0,341,1e-06
0,368,1.0
0,377,1e-06
0,381,1e-06
0,389,0.2
0,393,1e-06
0,401,1e-06
0,404,1e-06
0,410,1e-06
0,418,1e-06
0,427,1e-06
0,465,1e-06
0,488,1.0
0,489,1e-06
0,493,1e-06
0,518,1e-06
0,538,1e-06
0,553,1e-06
0,557,1e-06
0,559,1e-06
0,565,1e-06
0,566,1e-06
0,570,1e-06
0,571,0.25
0,573,0.6666666666666666
0,589,1.0
0,597,0.6666666666666666
0,608,1e-06
0,620,1e-06
0,627,1e-06
0,628,1e-06
0,630,1e-06
0,651,1e-06
0,659,1e-06
0,674,1e-06
0,677,1e-06
0,691,1e-06
0,706,1e-06
0,707,1e-06
0,708,1e-06
0,712,1e-06
0,730,1e-06
0,735,1e-06
0,738,1e-06
0,742,1e-06
0,743,1e-06
0,745,1.0
0,752,1e-06
0,764,1e-06
0,765,1e-06
0,778,0.25
0,781,1e-06
0,787,1e-06
0,794,1e-06
0,808,0.25
0,814,1e-06
0,821,1.0
0,825,0.3333333333333333
0,840,1.0
0,851,1e-06
0,854,0.3333333333333333
0,868,1e-06
0,869,1e-06
0,872,1e-06
0,875,0.3333333333333333
0,876,0.6666666666666666
0,878,1e-06
0,882,1e-06
0,883,1e-06
0,899,1e-06
0,900,0.6666666666666666
0,905,1e-06
0,910,1e-06
0,912,1.0
0,914,0.3333333333333333
0,924,1e-06
0,927,1e-06
0,932,1e-06
0,941,1e-06
0,942,1.0
0,965,1e-06
0,967,1e-06
0,969,1e-06
0,972,1.0
0,974,1e-06
0,987,1.0
0,999,1.0
1,246,0.6
1,253,0.2
1,347,0.2
1,377,0.2
1,380,0.2
1,386,0.25
1,410,0.2
1,427,0.2
1,453,0.6
1,557,0.25
1,559,0.25
1,594,0.25
1,608,0.25
1,620,0.25
1,671,0.5
1,706,0.25
1,710,0.25
1,720,0.25
1,815,0.6666666666666666
1,872,0.25
1,898,0.25
1,938,0.75
1,967,1e-06
2,7,0.2857142857142857
2,86,0.4
2,130,0.4
2,149,1e-06
2,198,1e-06
2,218,0.5
2,243,0.25
2,248,1e-06
2,285,0.4
2,302,0.2
2,331,0.2
2,340,1e-06
2,387,1e-06
2,394,0.2
2,541,0.3333333333333333
2,589,0.5
2,610,1e-06
2,641,0.5
2,692,0.3333333333333333
2,834,0.3333333333333333
2,877,0.3333333333333333
2,972,0.25
2,976,1e-06
3,32,0.2
3,53,1e-06
3,64,0.2
3,148,0.2
3,174,0.25
3,206,0.25
3,207,0.5
3,223,0.25
3,299,0.25
3,301,1e-06
3,319,0.25
3,426,0.25
3,461,1e-06
3,467,1e-06
3,479,1e-06
3,542,1e-06
3,606,0.25
3,622,0.3333333333333333
3,623,0.5
3,638,1e-06
3,653,0.25
3,664,0.25
3,668,1e-06
3,680,0.25
