u,v,weight
8328230540,17406013023,1.0
9531470088,13101393737,1.0
9591465489,23504245360,1.0
9672305859,17344312956,2.0
9672305859,17526881753,1.0
9776644478,17365352671,1.0
9796911379,17406013023,1.0
9837582342,15996936992,2.0
9837582342,17547217898,4.0
9837644142,17365352671,1.0
9878633226,17406013023,2.0
10000777097,22057292054,4.0
11142627112,17344312956,1.0
11203946432,16181676328,2.0
11224344616,16181676328,2.0
11244743074,16181676328,1.0
11265144438,16181676328,1.0
11283837230,15832794495,1.0
11304110254,15832794495,2.0
11347187762,13101393737,1.0
11385700834,15832794495,1.0
11387985335,17365352671,2.0
11387986798,20710180340,1.0
11388112553,17406013023,1.0
11406104184,15832794495,2.0
11406104184,15853134108,1.0
11406104184,16017207990,2.0
11406162075,15832794495,2.0
11408191976,15832794495,1.0
11409018714,14673535780,1.0
11426688959,15832794495,2.0
11447096055,17547217898,1.0
11447156371,16058071362,2.0
11467622988,16057945320,2.0
11551050891,13101393737,3.0
11612247613,14673535780,1.0
11671991039,20710180340,1.0
11674905532,13102661839,3.0
11674905532,13143463889,3.0
11735533410,14673535780,1.0
12550430099,14528065967,2.0
12653498169,14673535780,3.0
12711976696,15832794495,1.0
12713362871,16181676328,1.0
12714888393,14673535780,1.0
12733952289,16181676328,2.0
12734339325,17731698020,1.0
12754222588,16181676328,1.0
12754602485,17547217898,1.0
12754940400,17406013023,1.0
12772850852,15832794495,1.0
12774684046,16181676328,2.0
12774685399,16181676328,1.0
12774685840,16181676328,3.0
12775205122,17406013023,1.0
12775469006,17365352671,2.0
12793186444,15832794495,1.0
12815611402,13101393737,1.0
12815934210,17406013023,1.0
12815934873,17406013023,1.0
12836456253,12836468517,1.0
12836468517,12856861968,3.0
12836468517,12856862489,2.0
12836468517,13060848994,2.0
12836468517,14264538929,2.0
12836468517,14325284162,5.0
12836468517,14325534272,1.0
12836468517,14325540818,2.0
12836468517,14325546866,1.0
12836468517,14325610278,1.0
12836468517,14325611397,1.0
12836468517,14325611975,1.0
12836468517,14345811115,2.0
12836468517,14345937573,1.0
12836468517,14366335028,1.0
12836468517,14366402028,1.0
12836468517,14366408553,1.0
12836468517,14366413638,1.0
12836468517,14366794511,1.0
12836468517,15752974209,3.0
12836468517,15753559044,2.0
12836468517,15794926715,1.0
12836468517,15814562011,1.0
12836468517,15814624299,2.0
12836468517,15814742193,1.0
12836468517,15814759980,1.0
12836468517,15815017201,1.0
12836468517,15815018963,2.0
12836468517,15815198003,2.0
12836468517,15835148328,1.0
12836468517,15835149442,1.0
12836468517,15835158399,1.0
12836468517,15835211737,1.0
12836468517,15835218428,1.0
12836468517,15835343416,1.0
12836468517,15835350047,1.0
12836468517,15835528966,1.0
12836468517,15855485341,1.0
12836468517,15855548658,1.0
12836468517,15855550341,1.0
12836468517,15855611832,1.0
12836468517,15855615011,5.0
12836468517,15855616175,1.0
12836468517,15855616286,1.0
12836468517,15855616586,2.0
12836468517,15855682663,1.0
12836468517,15855684131,1.0
12836468517,15855685133,2.0
12836468517,15855685847,1.0
12836468517,15875883044,4.0
12836468517,15875950500,1.0
12836468517,15876012622,1.0
12836468517,15896340759,2.0
12836468517,15896340867,1.0
12836468517,15896341065,1.0
12836468517,15896479514,1.0
12836468517,15917758769,1.0
12836468517,17283042918,1.0
12836468517,17344624397,1.0
12836468517,17344639709,1.0
12836468517,17344641718,2.0
12836468517,17344705876,1.0
12836468517,17344896300,1.0
12836468517,17365027432,1.0
12836468517,17365028035,1.0
12836468517,17365028140,1.0
12836468517,17365032834,1.0
12836468517,17365147728,1.0
12836468517,17365159601,1.0
12836468517,17385420222,1.0
12836468517,17385483014,1.0
12836468517,17385485551,1.0
12836468517,17385485818,1.0
12836468517,17385485897,1.0
12836468517,17385486290,1.0
12836468517,17385547977,1.0
12836468517,17385548139,1.0
12836468517,17385548551,1.0
12836468517,17385554022,1.0
12836468517,17385609470,1.0
12836468517,17385616590,1.0
12836468517,17405883725,1.0
12836468517,17405893302,1.0
12836468517,17405893385,2.0
12836468517,17405945489,4.0
12836468517,17405948428,1.0
12836468517,17405949129,2.0
12836468517,17405950212,1.0
12836468517,17406211439,1.0
12836468517,17426282764,1.0
12836468517,17469133657,1.0
12836468517,20506828951,1.0
12856853682,17406013023,1.0
12857364485,14407389022,1.0
12876745494,19200442018,1.0
12877127225,13101393737,1.0
12897333869,20710180340,1.0
12898353599,17406013023,2.0
12915893553,14466996773,1.0
12915893553,15832989077,1.0
12916023383,17547217898,1.0
12916024833,14466996773,1.0
12917606876,13101393737,1.0
12917670910,13101393737,3.0
12917923285,15876901565,3.0
12917923285,20710180340,1.0
12917923346,20710180340,1.0
12918053037,14407389022,1.0
12918241559,14407389022,1.0
12918561142,14407389022,1.0
12936358979,14466996773,1.0
12936358979,17526881753,1.0
12936359462,17526881753,2.0
12936359462,17547217898,2.0
12936361232,17547217898,1.0
12936427262,15996814107,1.0
12936427262,17526815067,1.0
12936427262,17526881753,4.0
12936427262,17547217898,1.0
12936427688,17547217898,2.0
12938516186,14673535780,1.0
12938834790,17423938073,1.0
12938962796,14407389022,1.0
12938962796,17507941119,1.0
12958352344,16181676328,1.0
12958915406,14673535780,2.0
12959422268,14673535780,1.0
13019986421,19159705892,1.0
13020939292,13102661839,3.0
13020939292,14550942838,2.0
13020939292,14591805553,1.0
13020939292,14673535780,2.0
13020940183,14673535780,1.0
13021065622,14591805553,2.0
13021065622,14673535780,2.0
13041214430,14673535780,3.0
13041340511,13061866155,2.0
13041340511,14591805553,2.0
13041340511,14673535780,4.0
13041340511,16142146022,2.0
13041340511,16182950504,2.0
13061866155,14550942838,2.0
13061866155,14673535780,4.0
13061866155,16142146022,2.0
13079278804,16057945766,1.0
13080989891,13101393737,6.000000000000003
13081247262,16181676328,4.0
13081378409,13143463889,2.0
13081378409,14692668288,1.0
13081378409,15855552540,2.0
13081378409,16017336261,2.0
13081378409,16202529937,10.0
13081378409,16202590335,1.0
