u,v,weight
10009,10015,0.5
10009,10027,1.0
10009,10029,0.025
10009,10046,0.058823529411764705
10009,10053,0.027777777777777776
10009,10060,0.3333333333333333
10009,10072,0.024390243902439025
10009,10093,0.2
10009,10102,0.14285714285714285
10009,10143,1.0
10009,10150,1.0
10009,10269,0.16666666666666666
10009,10278,1.0
10009,10312,1.0
10009,10322,0.3333333333333333
10009,10358,0.07692307692307693
10009,10415,0.5
10009,10428,1.0
10009,10481,0.3333333333333333
10009,10532,0.006944444444444444
10009,10612,1.0
10009,10687,0.5
10009,10705,0.07692307692307693
10009,10771,1.0
10009,10787,0.1111111111111111
10009,10807,1.0
10009,10836,0.001075268817204301
10009,10915,1.0
10009,11003,1.0
10009,11124,1.0
10009,11369,0.05263157894736842
10009,11375,1.0
10009,11401,1.0
10009,11684,0.011627906976744186
10009,12112,0.05555555555555555
10009,12140,0.25
10009,12235,0.045454545454545456
10009,12321,0.3333333333333333
10009,12354,1.0
10009,12398,1.0
10009,12584,0.14285714285714285
10009,12973,0.5
10009,13072,0.25
10009,13121,1.0
10009,13241,1.0
10009,13797,0.5
10009,13850,0.3333333333333333
10009,13991,1.0
10009,14134,1.0
10009,14581,0.25
10009,14800,1.0
10009,15194,0.3333333333333333
10009,15497,1.0
10009,15644,1.0
10009,15750,0.5
10009,15814,0.3333333333333333
10009,16007,0.16666666666666666
10009,16033,1.0
10009,16140,1.0
10009,16271,1.0
10009,16325,1.0
10009,16388,1.0
10009,16435,0.3333333333333333
10009,16514,1.0
10009,16633,0.5
10009,16689,1.0
10009,16787,1.0
10009,16879,1.0
10009,17091,0.5
10009,17136,1.0
10009,17151,0.5
10009,17218,0.5
10009,17239,0.25
10009,17271,0.5
10009,17280,1.0
10009,17289,0.14285714285714285
10009,17424,1.0
10009,17699,0.3333333333333333
10009,17871,0.125
10009,17944,1.0
10009,18077,0.5
10009,18123,1.0
10009,18319,1.0
10009,18330,1.0
10009,18523,0.2
10009,18672,1.0
10009,18676,1.0
10009,18686,1.0
10009,18689,0.5
10009,18700,1.0
10009,18735,1.0
10009,18748,1.0
10009,18944,1.0
10009,19003,1.0
10009,19070,0.5
10009,19178,1.0
10009,19294,0.2
10009,19403,1.0
10009,19482,1.0
10009,19549,1.0
10009,19714,1.0
10009,19731,1.0
10009,19750,0.3333333333333333
10009,19752,1.0
10009,19852,1.0
10009,19860,0.5
10009,19884,0.5
10009,19908,1.0
10009,19979,1.0
10009,20005,1.0
10009,20135,0.16666666666666666
10009,20161,1.0
10009,20250,1.0
10009,20310,0.3333333333333333
10009,20370,0.5
10009,20632,0.5
10009,20639,1.0
10009,20920,1.0
10009,20932,1.0
10009,20953,1.0
10009,20982,1.0
10009,21141,1.0
10009,21159,1.0
10009,21336,1.0
10009,21348,0.125
10009,21385,1.0
10009,21405,1.0
10009,21439,1.0
10009,21483,1.0
10009,21552,1.0
10009,21553,1.0
10009,21626,1.0
10009,21720,1.0
10009,21760,1.0
10009,21788,1.0
10009,21804,1.0
10009,21807,0.3333333333333333
10009,21890,0.5
10009,21981,1.0
10009,22038,1.0
10009,22107,1.0
10009,22162,1.0
10009,22239,1.0
10009,22250,1.0
10009,22254,1.0
10009,22305,0.3333333333333333
10009,22468,1.0
10009,22625,1.0
10009,22699,0.09090909090909091
10009,22734,1.0
10009,22748,1.0
10009,22771,1.0
10009,22809,0.5
10009,22871,1.0
10009,22878,0.09090909090909091
10009,23023,1.0
10009,23042,1.0
10009,23086,1.0
10009,23093,0.5
10009,23169,1.0
10009,23304,0.3333333333333333
10009,23429,0.25
10009,23480,1.0
10009,23488,0.25
10009,23501,1.0
10009,23543,1.0
10009,23573,0.5
10009,23589,1.0
10009,23591,0.5
10009,23606,0.2
10009,23649,1.0
10009,23765,1.0
10009,23791,1.0
10009,23801,0.2
10009,23853,1.0
10009,23900,1.0
10009,23935,1.0
10009,23955,0.5
10009,23965,0.25
10009,24032,1.0
10009,24235,1.0
10009,24267,0.25
10009,24284,0.3333333333333333
10009,24292,0.3333333333333333
10009,24303,1.0
10009,24328,0.25
10009,24474,0.2
10009,24490,1.0
10009,24510,0.25
10009,24577,0.5
10009,24579,0.14285714285714285
10009,24618,0.3333333333333333
10009,24630,0.5
10009,24786,1.0
10009,24807,1.0
10009,24826,0.5
10009,24914,1.0
10009,24920,1.0
10009,24967,0.3333333333333333
10009,24973,0.25
10009,25059,1.0
10009,25066,1.0
10009,25073,0.5
10009,25170,0.5
10009,25192,1.0
10009,25212,1.0
10009,25311,1.0
10009,25398,0.25
10009,25454,1.0
10009,25506,0.25
10009,25588,1.0
10009,25654,1.0
10009,25676,1.0
10009,25732,0.3333333333333333
10009,25882,1.0
10009,25964,1.0
10009,26010,0.5
10009,26046,1.0
10009,26101,0.25
10009,26104,0.5
10009,26151,0.3333333333333333
10009,26231,1.0
10009,26372,0.3333333333333333
10009,26399,1.0
10009,26437,0.5
10009,26458,0.3333333333333333
10009,26486,0.25
10009,26533,0.5
10009,26688,0.2
10009,26696,1.0
10009,26719,1.0
10009,26770,0.3333333333333333
10009,26776,0.5
10009,26779,0.5
10009,26787,1.0
10009,26879,0.2
