u,v,weight
10009,10015,2.0
10009,10027,1.0
10009,10029,40.0
10009,10046,17.000000000000004
10009,10053,36.0000000000001
10009,10060,3.0
10009,10072,41.00000000000004
10009,10093,5.0
10009,10102,7.0000000000000036
10009,10143,1.0
10009,10150,1.0
10009,10269,6.000000000000003
10009,10278,1.0
10009,10312,1.0
10009,10322,3.0
10009,10358,13.000000000000004
10009,10415,2.0
10009,10428,1.0
10009,10481,3.0
10009,10532,144.00000000000094
10009,10612,1.0
10009,10687,2.0
10009,10705,13.000000000000004
10009,10771,1.0
10009,10787,9.0
10009,10807,1.0
10009,10836,930.0000000000009
10009,10915,1.0
10009,11003,1.0
10009,11124,1.0
10009,11369,19.000000000000007
10009,11375,1.0
10009,11401,1.0
10009,11684,86.00000000000064
10009,12112,18.000000000000018
10009,12140,4.0
10009,12235,22.000000000000025
10009,12321,3.0
10009,12354,1.0
10009,12398,1.0
10009,12584,7.0000000000000036
10009,12973,2.0
10009,13072,4.0
10009,13121,1.0
10009,13241,1.0
10009,13797,2.0
10009,13850,3.0
10009,13991,1.0
10009,14134,1.0
10009,14581,4.0
10009,14800,1.0
10009,15194,3.0
10009,15497,1.0
10009,15644,1.0
10009,15750,2.0
10009,15814,3.0
10009,16007,6.000000000000003
10009,16033,1.0
10009,16140,1.0
10009,16271,1.0
10009,16325,1.0
10009,16388,1.0
10009,16435,3.0
10009,16514,1.0
10009,16633,2.0
10009,16689,1.0
10009,16787,1.0
10009,16879,1.0
10009,17091,2.0
10009,17136,1.0
10009,17151,2.0
10009,17218,2.0
10009,17239,4.0
10009,17271,2.0
10009,17280,1.0
10009,17289,7.0000000000000036
10009,17424,1.0
10009,17699,3.0
10009,17871,8.0
10009,17944,1.0
10009,18077,2.0
10009,18123,1.0
10009,18319,1.0
10009,18330,1.0
10009,18523,5.0
10009,18672,1.0
10009,18676,1.0
10009,18686,1.0
10009,18689,2.0
10009,18700,1.0
10009,18735,1.0
10009,18748,1.0
10009,18944,1.0
10009,19003,1.0
10009,19070,2.0
10009,19178,1.0
10009,19294,5.0
10009,19403,1.0
10009,19482,1.0
10009,19549,1.0
10009,19714,1.0
10009,19731,1.0
10009,19750,3.0
10009,19752,1.0
10009,19852,1.0
10009,19860,2.0
10009,19884,2.0
10009,19908,1.0
10009,19979,1.0
10009,20005,1.0
10009,20135,6.000000000000003
10009,20161,1.0
10009,20250,1.0
10009,20310,3.0
10009,20370,2.0
10009,20632,2.0
10009,20639,1.0
10009,20920,1.0
10009,20932,1.0
10009,20953,1.0
10009,20982,1.0
10009,21141,1.0
10009,21159,1.0
10009,21336,1.0
10009,21348,8.0
10009,21385,1.0
10009,21405,1.0
10009,21439,1.0
10009,21483,1.0
10009,21552,1.0
10009,21553,1.0
10009,21626,1.0
10009,21720,1.0
10009,21760,1.0
10009,21788,1.0
10009,21804,1.0
10009,21807,3.0
10009,21890,2.0
10009,21981,1.0
10009,22038,1.0
10009,22107,1.0
10009,22162,1.0
10009,22239,1.0
10009,22250,1.0
10009,22254,1.0
10009,22305,3.0
10009,22468,1.0
10009,22625,1.0
10009,22699,11.000000000000002
10009,22734,1.0
10009,22748,1.0
10009,22771,1.0
10009,22809,2.0
10009,22871,1.0
10009,22878,11.000000000000002
10009,23023,1.0
10009,23042,1.0
10009,23086,1.0
10009,23093,2.0
10009,23169,1.0
10009,23304,3.0
10009,23429,4.0
10009,23480,1.0
10009,23488,4.0
10009,23501,1.0
10009,23543,1.0
10009,23573,2.0
10009,23589,1.0
10009,23591,2.0
10009,23606,5.0
10009,23649,1.0
10009,23765,1.0
10009,23791,1.0
10009,23801,5.0
10009,23853,1.0
10009,23900,1.0
10009,23935,1.0
10009,23955,2.0
10009,23965,4.0
10009,24032,1.0
10009,24235,1.0
10009,24267,4.0
10009,24284,3.0
10009,24292,3.0
10009,24303,1.0
10009,24328,4.0
10009,24474,5.0
10009,24490,1.0
10009,24510,4.0
10009,24577,2.0
10009,24579,7.0000000000000036
10009,24618,3.0
10009,24630,2.0
10009,24786,1.0
10009,24807,1.0
10009,24826,2.0
10009,24914,1.0
10009,24920,1.0
10009,24967,3.0
10009,24973,4.0
10009,25059,1.0
10009,25066,1.0
10009,25073,2.0
10009,25170,2.0
10009,25192,1.0
10009,25212,1.0
10009,25311,1.0
10009,25398,4.0
10009,25454,1.0
10009,25506,4.0
10009,25588,1.0
10009,25654,1.0
10009,25676,1.0
10009,25732,3.0
10009,25882,1.0
10009,25964,1.0
10009,26010,2.0
10009,26046,1.0
10009,26101,4.0
10009,26104,2.0
10009,26151,3.0
10009,26231,1.0
10009,26372,3.0
10009,26399,1.0
10009,26437,2.0
10009,26458,3.0
10009,26486,4.0
10009,26533,2.0
10009,26688,5.0
10009,26696,1.0
10009,26719,1.0
10009,26770,3.0
10009,26776,2.0
10009,26779,2.0
10009,26787,1.0
10009,26879,5.0
10009,26965,1.0
10009,27080,3.0
10009,27130,12.000000000000005
10009,27257,2.0
10009,27266,2.0
10009,27338,4.0
10009,27411,3.0
