node,lat,lon
1,41.085396,-73.530767
2,41.086098,-73.530538
12,41.085358,-73.529763
1363,41.083296,-73.531567
13,41.086062,-73.529834
48,41.086646,-73.530423
3,41.048796,-73.519366
4,41.048654,-73.519377
3874,41.050296,-73.519366
3926,41.048596,-73.519666
3937,41.048796,-73.518666
5,41.093796,-73.524567
6,41.093834,-73.52549
1204,41.09504,-73.526159
1214,41.093896,-73.522967
1219,41.091196,-73.522467
7,41.110484,-73.531927
8,41.110611,-73.530106
1147,41.111296,-73.532067
1148,41.108396,-73.531567
9,41.125895,-73.529341
10,41.127369,-73.529746
11,41.125051,-73.530583
603,41.124456,-73.528946
1197,41.127613,-73.528512
6444,41.128959,-73.530182
14,41.065086,-73.613384
15,41.065131,-73.615019
237,41.068396,-73.61517
251,41.063296,-73.61257
23,41.132182,-73.554632
24,41.129747,-73.554531
6086,41.132096,-73.558269
6095,41.132296,-73.549868
27,41.060382,-73.553622
28,41.05968,-73.553544
2494,41.060096,-73.553368
29,41.10214,-73.533483
30,41.102096,-73.532867
42,41.103106,-73.53343
1150,41.102196,-73.534267
1152,41.101196,-73.532867
38,41.070248,-73.655912
39,41.071096,-73.656372
4691,41.067596,-73.654472
61,41.029197,-73.600669
71,41.029597,-73.600269
69,41.029328,-73.600074
70,41.029708,-73.599874
2161,41.030297,-73.597769
1852,41.029497,-73.600969
2160,41.031646,-73.598732
72,41.160736,-73.536328
73,41.164875,-73.533528
6112,41.163096,-73.539468
6148,41.155496,-73.530868
74,41.036486,-73.564333
75,41.037197,-73.564468
76,41.036816,-73.565953
2458,41.035097,-73.564068
2437,41.037797,-73.569168
2457,41.034497,-73.562568
2463,41.038597,-73.563468
77,41.029613,-73.560221
78,41.030025,-73.560423
79,41.029222,-73.561203
2751,41.029097,-73.559968
80,41.033997,-73.562368
81,41.030486,-73.559019
82,41.025359,-73.567336
83,41.025297,-73.567768
84,41.023827,-73.566886
2755,41.025497,-73.566368
2737,41.025297,-73.567968
2740,41.025197,-73.567968
85,41.119244,-73.654508
86,41.115564,-73.646405
4551,41.125396,-73.652072
4552,41.116796,-73.655572
87,41.119488,-73.635347
4574,41.11584,-73.633075
96,41.079096,-73.623471
97,41.079096,-73.626271
98,41.077996,-73.623271
217,41.081396,-73.623471
99,41.078096,-73.626971
221,41.074896,-73.623271
100,41.070696,-73.622671
101,41.070696,-73.626463
233,41.070796,-73.622371
234,41.070696,-73.622071
250,41.070696,-73.626771
261,41.073196,-73.626571
102,41.056696,-73.62247
103,41.061396,-73.626271
1540,41.054596,-73.62127
5187,41.055296,-73.629671
5185,41.060796,-73.628371
5188,41.062396,-73.626371
106,41.122696,-73.618671
107,41.127512,-73.621315
109,41.119396,-73.619271
111,41.122696,-73.617571
5813,41.130196,-73.622771
108,41.1196,-73.621987
4602,41.119596,-73.626571
110,41.115296,-73.617471
112,41.112596,-73.617371
114,41.116366,-73.612898
117,41.124377,-73.613687
167,41.108396,-73.618771
175,41.107096,-73.615971
113,41.116396,-73.612771
115,41.115296,-73.611871
189,41.109596,-73.60707
116,41.123196,-73.60887
118,41.124576,-73.606434
6503,41.125743,-73.613368
119,41.125376,-73.607106
120,41.12448,-73.602098
123,41.123596,-73.60067
121,41.139809,-73.574451
122,41.138457,-73.575595
5905,41.139696,-73.58197
5916,41.139596,-73.573669
124,41.125496,-73.60027
125,41.120696,-73.59877
5819,41.125376,-73.597666
5924,41.129344,-73.598578
126,41.119296,-73.60057
129,41.12024,-73.59861
127,41.120196,-73.60087
128,41.117696,-73.60187
6423,41.117217,-73.601517
130,41.113996,-73.59797
5943,41.12284,-73.596347
131,41.117796,-73.59377
290,41.110996,-73.58777
132,41.117696,-73.59227
134,41.121396,-73.59207
133,41.123696,-73.59047
5933,41.127396,-73.59217
135,41.121396,-73.59087
136,41.121696,-73.59037
137,41.119896,-73.59117
138,41.123896,-73.58747
139,41.120696,-73.58757
140,41.122496,-73.58487
5941,41.127096,-73.58737
141,41.120396,-73.58697
142,41.118596,-73.58917
143,41.123096,-73.584369
146,41.115796,-73.582369
144,41.124796,-73.58457
145,41.123396,-73.583969
150,41.115096,-73.582269
151,41.115973,-73.581486
147,41.124396,-73.580369
148,41.124196,-73.583069
149,41.121196,-73.579769
154,41.124996,-73.578369
152,41.114196,-73.579969
153,41.116096,-73.580869
161,41.115096,-73.576869
304,41.108196,-73.580869
155,41.124196,-73.577969
5954,41.127296,-73.577569
156,41.118496,-73.579769
157,41.120224,-73.579921
158,41.117264,-73.579825
159,41.118796,-73.577469
160,41.117496,-73.577069
496,41.124296,-73.573569
162,41.117896,-73.572169
163,41.113096,-73.574669
499,41.120496,-73.572569
503,41.10992,-73.569985
326,41.112805,-73.575218
166,41.105196,-73.620771
170,41.105396,-73.623871
171,41.104396,-73.621071
168,41.094904,-73.632133
169,41.094934,-73.630527
4731,41.095396,-73.632071
4733,41.094596,-73.632171
4738,41.09552,-73.627635
4719,41.105996,-73.625971
172,41.103796,-73.617071
178,41.097112,-73.620847
177,41.100496,-73.617971
180,41.094598,-73.61641
173,41.091396,-73.620671
174,41.093162,-73.620725
179,41.093796,-73.616671
181,41.089896,-73.621571
176,41.106196,-73.61037
187,41.111196,-73.61057
191,41.105596,-73.60917
6376,41.092719,-73.624468
186,41.095769,-73.612891
182,41.089396,-73.621671
202,41.092696,-73.61207
4503,41.089996,-73.625871
183,41.088596,-73.619371
184,41.084996,-73.622671
185,41.087796,-73.619371
215,41.083996,-73.622271
198,41.102396,-73.60927
188,41.109296,-73.60607
190,41.108596,-73.60617
289,41.104496,-73.59107
192,41.108423,-73.606344
193,41.103696,-73.60717
194,41.103296,-73.60687
200,41.104296,-73.60367
195,41.102796,-73.60737
197,41.100009,-73.605008
199,41.097778,-73.608338
196,41.097296,-73.60347
205,41.095808,-73.602802
295,41.099296,-73.59937
4623,41.097096,-73.60847
201,41.104372,-73.603212
6417,41.104396,-73.60307
203,41.093808,-73.604306
204,41.087648,-73.608546
207,41.087392,-73.604162
208,41.093904,-73.603122
253,41.086128,-73.60853
206,41.09696,-73.600594
209,41.09392,-73.60189
263,41.086672,-73.603954
264,41.087396,-73.60247
210,41.092796,-73.60057
211,41.090896,-73.59987
298,41.095008,-73.596898
212,41.090624,-73.59989
302,41.091296,-73.59707
213,41.088544,-73.599954
214,41.087396,-73.59987
303,41.089168,-73.596338
266,41.086496,-73.59977
216,41.082296,-73.622971
218,41.08432,-73.618611
220,41.084296,-73.625371
219,41.085312,-73.618755
224,41.085996,-73.61587
4797,41.083096,-73.629471
4799,41.085996,-73.626971
231,41.07396,-73.62692
232,41.073796,-73.623071
222,41.074696,-73.61917
223,41.075396,-73.61897
225,41.075696,-73.61757
226,41.088096,-73.61327
227,41.075796,-73.61667
228,41.075796,-73.61607
229,41.075996,-73.61117
255,41.064296,-73.61037
256,41.076296,-73.60967
235,41.070396,-73.622071
236,41.068296,-73.62107
238,41.071696,-73.62027
239,41.067696,-73.62077
4814,41.062896,-73.629571
240,41.064396,-73.61927
241,41.067696,-73.61917
245,41.063796,-73.61927
247,41.065796,-73.61757
242,41.062596,-73.62047
243,41.061696,-73.61877
244,41.061196,-73.62077
246,41.062796,-73.61857
248,41.064296,-73.61577
1549,41.056796,-73.61687
4811,41.069096,-73.628271
252,41.057996,-73.61357
273,41.063396,-73.61117
2315,41.055708,-73.614263
254,41.083456,-73.608866
274,41.063496,-73.61077
276,41.064496,-73.60797
257,41.079696,-73.60817
260,41.075696,-73.60607
258,41.080176,-73.608002
259,41.079496,-73.60727
262,41.071996,-73.60657
270,41.075096,-73.60477
265,41.081584,-73.604402
267,41.085696,-73.59967
374,41.086596,-73.59687
268,41.084096,-73.59717
269,41.074496,-73.60317
376,41.082296,-73.59617
281,41.074925,-73.604315
282,41.073996,-73.60317
271,41.065596,-73.60717
272,41.067434,-73.606864
278,41.064996,-73.607607
279,41.065596,-73.60637
6501,41.069796,-73.60647
6502,41.06812,-73.606095
275,41.061996,-73.61027
277,41.063312,-73.607314
6500,41.06297,-73.606646
280,41.065496,-73.60427
285,41.066596,-73.60037
286,41.061596,-73.60427
6491,41.075442,-73.604084
283,41.072796,-73.59997
284,41.072496,-73.59897
379,41.077096,-73.59937
380,41.077796,-73.59567
391,41.070796,-73.59787
287,41.061996,-73.60227
1596,41.059796,-73.60437
288,41.063568,-73.601346
1612,41.061896,-73.59997
292,41.104096,-73.59097
293,41.104196,-73.59027
291,41.104696,-73.586369
306,41.104696,-73.586669
307,41.104096,-73.585269
294,41.100896,-73.59197
296,41.096396,-73.59507
297,41.100696,-73.588669
299,41.095396,-73.59647
301,41.094752,-73.594034
343,41.100696,-73.585669
300,41.093344,-73.594882
305,41.104796,-73.580569
324,41.108696,-73.577869
316,41.104096,-73.580469
330,41.104796,-73.578669
308,41.103596,-73.585169
309,41.106432,-73.582897
310,41.103096,-73.584969
311,41.103196,-73.585369
313,41.101396,-73.582769
312,41.102996,-73.587469
318,41.101096,-73.582569
319,41.101496,-73.582369
314,41.103796,-73.580569
315,41.104096,-73.582369
321,41.103496,-73.580469
317,41.103696,-73.579669
331,41.102596,-73.578369
320,41.100596,-73.582169
337,41.100896,-73.577069
342,41.099296,-73.581469
322,41.106996,-73.578469
323,41.107596,-73.578569
334,41.106021,-73.576969
325,41.112256,-73.577201
327,41.109056,-73.575441
6400,41.112196,-73.576369
6401,41.113765,-73.576246
328,41.110576,-73.574929
329,41.108368,-73.574913
333,41.104896,-73.576969
332,41.101296,-73.576969
335,41.103296,-73.576469
632,41.106035,-73.575859
336,41.10451,-73.576848
340,41.104996,-73.573569
338,41.100896,-73.576769
339,41.100996,-73.575969
625,41.102672,-73.566257
341,41.099796,-73.586269
344,41.098196,-73.585969
345,41.098813,-73.581166
346,41.098393,-73.581116
347,41.098622,-73.580649
348,41.093496,-73.580269
349,41.096596,-73.575269
350,41.093596,-73.582469
367,41.092696,-73.579569
362,41.096796,-73.574869
364,41.096296,-73.574869
351,41.096696,-73.585369
354,41.09348,-73.58296
352,41.093196,-73.584169
353,41.093227,-73.584513
6493,41.094396,-73.585969
6494,41.092345,-73.585439
355,41.090752,-73.582577
356,41.088928,-73.585409
357,41.090512,-73.584705
358,41.099496,-73.575269
359,41.100496,-73.576069
360,41.099196,-73.577469
361,41.097496,-73.574769
363,41.097396,-73.572469
651,41.099196,-73.572869
652,41.097296,-73.570269
365,41.095996,-73.574669
366,41.094696,-73.573869
