u,v,weight
10:HA*,10:HN,2.919
10:HA*,11:HN,4.234999999999999
10:HN,8:HA,4.641
10:HN,9:HA,4.050000000000001
11:HA,11:HD1,4.439
11:HA,11:HG1,4.015000000000001
11:HA,11:HN,3.466
11:HA,12:HA,5.68
11:HA,12:HB,5.853000000000001
11:HA,12:HN,2.415
11:HA,7:HG2#,6.15
11:HB*,7:HB,5.8870000000000005
11:HB*,7:HG2#,3.445
11:HD1,11:HD2,4.305
11:HD1,7:HG2#,4.179
11:HD1,9:HG2#,5.467
11:HE1,11:HE2,4.316
11:HG1,11:HG2,3.739
11:HG1,7:HG2#,5.44
11:HN,7:HG2#,4.724
12:HA,12:HG2#,2.677
12:HA,12:HN,4.025
12:HA,13:HA,5.85
12:HA,13:HD1#,5.866
12:HA,13:HG11,5.6690000000000005
12:HA,13:HG2#,5.41
12:HA,13:HN,2.766
12:HA,6:HA,2.617
12:HA,6:HB*,5.5649999999999995
12:HA,7:HG2#,5.0649999999999995
12:HA,7:HN,4.484
12:HB,12:HN,3.119
12:HB,4:HB1,5.971
12:HB,6:HA,5.9350000000000005
12:HG2#,13:HA,4.935
12:HG2#,13:HG2#,5.635
12:HG2#,14:HG2#,3.524
12:HG2#,2:HE22,4.829
12:HG2#,3:HN,5.180999999999999
12:HG2#,4:HA,3.728
12:HG2#,4:HB1,2.896
12:HG2#,4:HB2,3.576
12:HG2#,5:HN,4.050000000000001
12:HG2#,66:HA,6.234
12:HG2#,6:HA,3.85
12:HG2#,6:HB*,4.829
13:HA,13:HD1#,4.26
13:HA,13:HG11,3.8369999999999997
13:HA,13:HG2#,2.677
13:HA,13:HN,4.050000000000001
13:HA,14:HA,5.705
13:HA,14:HN,2.626
13:HA,5:HB,6.019
13:HB,13:HD1#,2.9099999999999997
13:HB,13:HN,3.7
13:HB,14:HN,3.9800000000000004
13:HB,5:HB,3.0359999999999996
13:HB,5:HG1#,4.283
13:HB,5:HG2#,4.2780000000000005
13:HB,5:HN,4.659
13:HD1#,13:HN,5.152
13:HD1#,30:HA,4.199
13:HD1#,30:HG11,5.433
13:HD1#,33:HD1,4.2780000000000005
13:HD1#,33:HE1,5.726000000000001
13:HD1#,33:HG1,4.751
13:HD1#,34:HB*,4.715
13:HD1#,34:HG1,3.292
13:HD1#,5:HB,3.481
13:HD1#,5:HG1#,3.7359999999999998
13:HD1#,7:HG2#,2.966
13:HG11,13:HG12,3.3000000000000003
13:HG11,5:HB,3.733
13:HG11,5:HG1#,5.29
13:HG11,5:HG2#,3.733
13:HG11,7:HG2#,4.255
13:HG2#,13:HN,4.502
13:HG2#,14:HA,5.0889999999999995
13:HG2#,14:HB,5.84
13:HG2#,14:HN,3.561
13:HG2#,15:HA,5.779
13:HG2#,15:HD1#,2.983
13:HG2#,30:HA,4.646
13:HG2#,30:HG11,5.148000000000001
13:HG2#,33:HB1,4.446
13:HG2#,33:HB2,4.486
13:HG2#,33:HD1,3.434
13:HG2#,33:HE1,3.95
13:HG2#,33:HG1,3.987
13:HG2#,34:HA,6.13
13:HG2#,34:HB*,5.816
13:HG2#,34:HG1,4.019
13:HG2#,5:HB,4.406
13:HG2#,5:HG2#,4.87
13:HN,5:HB,5.125
13:HN,6:HA,4.688
14:HA,14:HG2#,2.7150000000000003
14:HA,14:HN,3.8819999999999997
14:HA,15:HD1#,5.631
14:HA,15:HN,2.54
14:HA,4:HA,2.843
14:HA,5:HG2#,6.101
14:HA,5:HN,4.729
14:HB,14:HN,3.119
14:HB,15:HN,4.76
14:HB,4:HA,5.677
14:HG2#,15:HA,4.88
14:HG2#,16:HA,6.224
14:HG2#,2:HB*,3.688
14:HG2#,2:HE21,4.466
15:HA,15:HD1#,2.564
15:HA,15:HN,3.869
15:HA,16:HB*,5.869
15:HA,16:HN,2.5540000000000003
15:HA,17:HG1#,4.734
15:HA,33:HE1,5.041
15:HB*,15:HD1#,2.9349999999999996
15:HB*,15:HN,3.806
15:HB*,16:HN,3.915
15:HB*,17:HG1#,3.281
15:HB*,17:HG2#,5.473999999999999
15:HB*,29:HD1,5.5760000000000005
15:HB*,3:HB,6.128
15:HB*,3:HD1#,3.976
15:HB*,3:HG2#,5.555
15:HB*,3:HN,5.494
15:HB*,5:HG2#,5.056
15:HD1#,15:HD2#,2.646
15:HD1#,3:HD1#,3.608
15:HD1#,5:HG2#,3.144
15:HG,30:HG11,5.864
15:HG,36:HG11,5.016
15:HN,2:HA,5.220000000000001
15:HN,4:HA,4.774
16:HA,16:HG1,4.189
16:HA,16:HN,4.009
16:HA,17:HA,5.058999999999999
16:HA,17:HG1#,4.809
16:HA,17:HG2#,4.614
16:HA,17:HN,2.597
16:HA,2:HA,2.861
16:HA,3:HN,5.114999999999999
16:HG1,16:HG2,4.019
16:HG1,1:HA,6.144
16:HN,17:HG1#,5.098000000000001
17:HA,17:HG1#,2.622
17:HA,17:HG2#,3.5599999999999996
17:HA,17:HN,3.8040000000000003
17:HA,18:HG1,5.835
17:HA,18:HN,2.774
17:HA,21:HB2,6.199
17:HA,26:HG2#,5.354
17:HA,29:HD1,5.204000000000001
17:HA,29:HE1,3.886
17:HA,56:HD*,4.566
17:HB,18:HA,6.029
17:HB,18:HN,2.898
17:HB,21:HB1,4.734
17:HB,21:HB2,4.25
17:HB,26:HG2#,4.299
17:HB,29:HE1,5.855
17:HB,30:HB,3.229
17:HB,3:HD1#,5.239
17:HB,3:HG2#,5.626
17:HB,56:HD*,3.165
17:HB,56:HG,5.424
17:HB,64:HG1,4.313000000000001
17:HG1#,17:HN,3.8850000000000002
17:HG1#,18:HN,4.13
17:HG1#,21:HB1,5.84
17:HG1#,21:HB2,5.724
17:HG1#,29:HD1,3.7359999999999998
17:HG1#,29:HE1,4.34
17:HG1#,29:HG1,5.513999999999999
17:HG1#,3:HD1#,2.9699999999999998
17:HG1#,3:HG2#,4.387
17:HG1#,56:HG,5.399
17:HG1#,5:HG1#,2.5469999999999997
17:HG2#,17:HN,2.919
17:HG2#,18:HA,4.9030000000000005
17:HG2#,18:HN,4.234999999999999
17:HG2#,19:HA,5.694
17:HG2#,1:HB1,5.2700000000000005
17:HG2#,1:HB2,4.219
17:HG2#,21:HB2,5.664
17:HG2#,26:HG2#,4.179
17:HG2#,3:HB,5.404
17:HG2#,3:HD1#,2.894
17:HG2#,3:HG2#,2.7560000000000002
17:HG2#,3:HN,4.76
17:HG2#,56:HD*,2.739
17:HG2#,56:HG,4.761
17:HG2#,63:HA,6.216
17:HN,2:HA,4.76
18:HA,18:HG1,4.169
18:HA,18:HN,3.946
18:HA,19:HA,6.008
18:HA,19:HB2,6.088
18:HA,19:HD1,2.5269999999999997
18:HA,19:HG1,4.981
18:HA,20:HN,5.180999999999999
18:HB1,18:HN,4.577
18:HB1,19:HD1,3.407
18:HB1,20:HN,3.709
18:HB1,21:HN,5.1419999999999995
18:HB2,18:HN,3.6359999999999997
18:HB2,19:HD1,4.1499999999999995
18:HB2,20:HN,4.1049999999999995
18:HB2,21:HN,4.283
18:HG1,18:HG2,3.9139999999999997
18:HN,21:HB2,4.582
18:HN,56:HD*,5.271
19:HA,19:HD1,5.004999999999999
19:HA,19:HG1,4.131
19:HA,20:HN,4.647
19:HA,21:HN,4.964
19:HA,56:HA,5.149
19:HA,56:HB1,3.794
19:HA,56:HB2,3.053
19:HA,56:HD*,3.957
19:HA,56:HG,5.5600000000000005
19:HA,57:HB*,4.981
19:HA,57:HN,4.356
19:HA,61:HB,6.025
19:HB1,19:HD1,4.582
19:HB1,56:HB2,5.7330000000000005
19:HB1,57:HA,5.138
19:HB1,57:HB*,3.551
19:HB2,19:HD1,4.074
19:HB2,20:HN,4.143
19:HB2,57:HA,6.209
19:HB2,57:HB*,3.987
19:HD1,19:HD2,4.011
19:HD1,1:HB2,6.069000000000001
19:HD1,1:HE#,3.876
19:HG1,19:HG2,3.7809999999999997
19:HG1,1:HE#,3.61
1:HA,1:HG1,4.0600000000000005
1:HA,2:HA,5.484999999999999
1:HA,2:HG1,5.9510000000000005
1:HA,2:HN,2.666
1:HA,63:HA,5.969
1:HA,63:HB1,5.843
1:HA,63:HD1,5.724
1:HB1,1:HB2,3.79
1:HB1,3:HG2#,4.958
1:HB2,1:HE#,3.565
1:HB2,29:HB2,3.6180000000000003
1:HE#,1:HG1,3.1550000000000002
1:HE#,21:HB2,5.864
1:HE#,26:HG2#,5.7330000000000005
1:HE#,28:HB#,2.519
1:HE#,3:HD1#,4.0
1:HE#,3:HG2#,2.551
1:HE#,56:HB2,5.288
1:HE#,61:HB,3.9250000000000003
1:HE#,61:HG2#,2.871
1:HE#,62:HA,3.276
1:HE#,63:HA,3.644
1:HE#,63:HG1,6.001
1:HE#,63:HN,4.926
1:HG1,1:HG2,3.001
20:HA,20:HN,3.678
20:HA,21:HN,4.301
20:HA,55:HA,5.451
20:HA,55:HB,3.081
20:HA,55:HG2#,3.164
20:HA,57:HN,5.1419999999999995
20:HB1,20:HN,3.453
20:HB1,21:HN,5.494
20:HB1,55:HB,5.657
20:HB1,55:HG2#,4.671
20:HB2,20:HN,4.057
20:HB2,55:HB,5.675
20:HB2,55:HG2#,4.839
21:HA,21:HN,3.453
21:HA,22:HG2#,4.935
21:HA,22:HN,2.434
21:HA,25:HB*,4.891
21:HA,26:HG2#,5.641
21:HA,55:HG2#,5.707
21:HB1,21:HN,3.8569999999999998
21:HB1,52:HB2,3.776
21:HB2,21:HN,3.061
21:HB2,22:HN,5.292
21:HB2,25:HB*,4.698
21:HB2,26:HG2#,4.019
21:HB2,56:HD*,3.75
21:HB2,56:HG,5.134
21:HN,55:HB,5.546
21:HN,56:HD*,4.676
22:HA,22:HG2#,2.6310000000000002
22:HA,22:HN,3.8850000000000002
22:HA,23:HA,6.041
22:HA,23:HD1#,5.056
22:HA,23:HG11,5.795999999999999
22:HA,23:HN,2.9139999999999997
22:HA,55:HA,2.191
22:HA,55:HB,3.695
