u,v,weight
1,2,2.666
1,3,2.551
1,16,6.144
1,17,4.219
1,19,3.61
1,21,5.864
1,26,5.7330000000000005
1,28,2.519
1,29,3.6180000000000003
1,56,5.288
1,61,2.871
1,62,3.276
1,63,3.644
2,3,2.4610000000000003
2,12,4.829
2,14,3.688
2,15,5.220000000000001
2,16,2.861
2,17,4.76
2,63,5.161
2,68,3.706
3,4,2.814
3,5,3.267
3,12,5.180999999999999
3,15,3.608
3,16,5.114999999999999
3,17,2.7560000000000002
3,26,3.6559999999999997
3,29,2.769
3,30,5.138
3,50,5.771
3,56,3.0940000000000003
3,61,3.39
3,63,3.4200000000000004
3,64,3.407
3,65,3.419
3,66,6.168
3,67,3.167
4,5,2.7489999999999997
4,6,4.145
4,12,2.896
4,14,2.843
4,15,4.774
4,66,3.144
5,6,2.774
5,7,5.629
5,12,4.050000000000001
5,13,3.0359999999999996
5,14,4.729
5,15,3.144
5,17,2.5469999999999997
5,30,2.863
5,43,5.913
5,66,4.204
5,67,3.063
5,69,3.11
6,7,2.424
6,12,2.617
6,13,4.688
6,66,3.3000000000000003
6,68,3.713
7,8,2.983
7,9,4.136
7,11,3.445
7,12,4.484
7,13,2.966
7,30,5.455
7,34,4.779999999999999
7,36,4.63
7,67,3.5789999999999997
7,69,2.9099999999999997
8,9,4.211
8,10,4.641
8,66,6.01
8,70,5.194
9,10,4.050000000000001
9,11,5.467
10,11,4.234999999999999
11,12,2.415
12,13,2.766
12,14,3.524
12,66,6.234
13,14,2.626
13,15,2.983
13,30,4.199
13,33,3.434
13,34,3.292
14,15,2.54
14,16,6.224
15,16,2.5540000000000003
15,17,3.281
15,29,5.5760000000000005
15,30,5.864
15,33,5.041
15,36,5.016
16,17,2.597
17,18,2.774
17,19,5.694
17,21,4.25
17,26,4.179
17,29,3.7359999999999998
17,30,3.229
17,56,2.739
17,63,6.216
17,64,4.313000000000001
18,19,2.5269999999999997
18,20,3.709
18,21,4.283
18,56,5.271
19,20,4.143
19,21,4.964
19,56,3.053
19,57,3.551
19,61,6.025
20,21,4.301
20,55,3.081
20,57,5.1419999999999995
21,22,2.434
21,25,4.698
21,26,4.019
21,52,3.776
21,55,5.546
21,56,3.75
22,23,2.9139999999999997
22,24,4.426
22,25,3.774
22,53,4.819
22,54,5.623
22,55,2.191
22,56,4.309
23,24,4.751
23,25,4.969
23,26,3.144
23,27,2.9909999999999997
23,38,5.574
23,43,3.063
23,50,2.9699999999999998
23,52,2.762
23,54,5.170999999999999
23,55,4.124
23,56,2.846
23,59,3.688
23,61,3.6359999999999997
23,67,4.1739999999999995
24,25,4.806
24,27,3.69
24,28,5.515
24,38,5.885
24,52,5.305
25,26,4.124
25,28,2.721
25,29,5.938
25,51,3.551
26,27,3.57
26,28,6.0440000000000005
26,29,3.748
26,30,2.8499999999999996
26,43,4.204
26,56,2.896
26,61,5.816
27,28,4.941
27,30,3.1
27,31,3.6359999999999997
27,38,3.576
27,43,4.53
28,29,3.2600000000000002
28,31,3.317
28,32,5.3709999999999996
28,38,4.035
29,30,4.133
29,31,4.016
29,32,3.3150000000000004
30,31,3.88
30,33,4.189
30,34,3.451
30,36,3.3489999999999998
30,41,4.179
30,43,2.599
30,67,5.5
30,69,2.96
31,32,3.549
31,34,5.23
31,35,3.76
31,36,3.0540000000000003
31,37,4.575
31,38,3.574
31,72,4.402
32,33,5.2989999999999995
33,34,3.7809999999999997
34,35,4.5969999999999995
34,36,4.011
34,38,5.071000000000001
35,36,4.5969999999999995
36,37,2.4299999999999997
36,38,5.2909999999999995
36,39,5.6530000000000005
36,40,3.305
36,41,3.241
36,67,5.611
36,69,2.781
36,71,5.85
37,38,2.276
38,39,3.569
38,40,5.24
38,41,3.809
39,40,2.781
40,69,4.522
40,72,4.98
41,42,2.702
41,67,3.752
41,69,2.801
41,74,3.7030000000000003
42,43,2.646
42,44,5.194999999999999
42,49,5.152
42,69,3.429
42,70,4.0649999999999995
42,71,4.67
42,72,4.006
43,44,2.729
43,49,5.36
43,50,3.431
43,56,4.664
43,67,3.307
43,69,2.995
43,70,5.4190000000000005
43,71,4.465
