u,v,weight
0,122,0.3701313959816356
0,140,0.42380011014797503
0,336,0.4107617562709489
0,379,0.38122341861629505
0,782,0.38238297608083305
0,1062,0.3740168330998792
0,1069,0.4125567735801098
0,1117,0.39579670262878386
0,1688,0.41220493625006505
0,1901,0.4039350170172834
0,2055,0.40962868408407893
0,2128,0.403405827528751
0,2196,0.5126960321540288
0,2268,0.40285849898554016
0,2282,0.3830469428768777
0,2515,0.37357269068415044
1,10,0.290256393159944
1,88,0.40564919850417314
1,147,0.24669904474184168
1,239,0.2919357726600321
1,265,0.29373961684759575
1,281,0.25246883891314376
1,423,0.20146267305936782
1,653,0.28640036232104116
1,713,0.31276392909435424
1,942,0.27382634862463606
1,1016,0.30594906084820905
1,1068,0.28152101426385756
1,1224,0.22061315039350426
1,1543,0.29772085773645607
1,1849,0.24330120891019935
1,2028,0.3099954531303851
1,2580,0.27836956085087805
1,2584,0.25716899015121397
2,80,0.3507922047407561
2,314,0.3622253996237378
2,323,0.38429437041182213
2,449,0.44705538294780023
2,474,0.3297013524448863
2,564,0.4162049208969725
2,705,0.31133911057592933
2,745,0.3383865469860651
2,941,0.45604164202607533
2,1028,0.4448151062882817
2,1081,0.3524734253045184
2,1187,0.5278048267001403
2,1229,0.42354663303423123
2,1280,0.434976992958482
2,1402,0.5029050567589002
2,1449,0.35957505803162526
2,1459,0.44530352812788854
2,1484,0.3333936582769329
2,1495,0.5078276612912019
2,1512,0.45311594626761753
2,1515,0.26950408481173005
2,1556,0.3694482174303334
2,1582,0.33635292986286425
2,1593,0.43687144156103674
2,1685,0.3203268599171484
2,1794,0.32341411828194433
2,1796,0.2933568127302397
2,1829,0.23204999564893902
2,1936,0.42264094285701936
2,2003,0.3722356213731052
2,2007,0.3607381319104134
2,2143,0.4492539006833862
2,2157,0.32434563873399946
2,2408,0.3012878839854327
2,2414,0.36789231725759686
2,2491,0.32778375959805783
2,2508,0.29138064912535766
2,2532,0.37886358536186926
3,18,0.13986088363878568
3,139,0.19517348182007233
3,518,0.18554710789499218
3,634,0.17143411993889113
3,721,0.1867227314869334
3,939,0.11789612775042846
3,1096,0.15178445520254114
3,1258,0.1456671663690945
3,1430,0.1486529846289567
3,1525,0.15243917827110987
3,1703,0.13847751885643
3,1837,0.1580555978029281
3,1853,0.22819737869881185
3,2137,0.23800878591301122
3,2270,0.15565268056370107
3,2311,0.14798975680146065
3,2455,0.27896217782855715
3,2490,0.13546966182848874
3,2496,0.1795198828168424
3,2581,0.1557286983586047
3,2588,0.11629538885429669
3,2619,0.16296794867026732
3,2673,0.14607597973017072
3,2687,0.15559088790736386
4,153,0.2739085303992349
4,308,0.3336757820358952
4,345,0.3324118611433703
4,557,0.4810040538002466
4,643,0.5636603084165095
4,1178,0.32149139020366646
4,1261,0.3195294204099708
4,1528,0.32568011967203137
4,1533,0.3395488193824189
4,1558,0.30589102086925857
4,1624,0.5530406165597839
4,1888,0.2916051732718784
4,2054,0.3447938218653017
4,2067,0.29884049470207397
4,2087,0.5206657738879621
4,2155,0.29507254566224916
4,2370,0.35037650974084433
4,2523,0.3228318317404485
4,2585,0.2994647925778968
5,68,0.5481431672156282
5,80,0.531626008527651
5,183,0.5285785389874431
5,495,0.5059384144990531
5,786,0.5503418178253514
5,912,0.5292754198105247
5,1006,0.5181954189194434
5,1153,0.461059470353522
5,1212,0.5523101512455559
5,1685,0.522426186394025
5,1861,0.5099900991328603
5,1864,0.486649785238923
5,2200,0.538200464826899
5,2239,0.5477688134975764
5,2249,0.5264337332233369
6,199,0.4389042048198948
6,511,0.46008534427803693
6,661,0.43824727493563453
6,1155,0.4961760001161686
6,1162,0.4408914702571274
6,1169,0.43123626528208636
6,1363,0.47937766443301366
6,1426,0.4923315494679671
6,1727,0.4689563499390059
6,1728,0.48708211545930813
6,1891,0.435783548406967
6,1983,0.47619539744910977
6,2037,0.47967566295855735
6,2359,0.4936116675669654
6,2504,0.41503378023288306
7,175,0.4438048384944381
7,215,0.3984917968038162
7,271,0.3492177908390821
7,522,0.4830313046644632
7,639,0.38776513168461013
7,797,0.4710855844577517
7,903,0.374364101775575
7,1107,0.3638768445444306
7,1251,0.43757570675866087
7,1444,0.46758713438014743
7,1488,0.4303486974997002
7,1586,0.47096014836043587
7,1693,0.4052808102703408
7,1714,0.355635079361741
7,1727,0.40107328015235233
7,1834,0.3949943276366541
7,1898,0.41768869018264265
7,2147,0.48448568614660203
7,2184,0.3427124098035572
7,2293,0.44586964959457365
7,2304,0.3655191135464405
7,2349,0.4089206804977856
7,2486,0.3589384448981916
7,2504,0.4279247349097841
7,2557,0.3064856114765687
8,90,0.4749661405038297
8,109,0.4024694699822554
8,295,0.44532109868345005
8,780,0.4380401557851592
8,857,0.38142396797565103
8,894,0.44363913016487755
8,1306,0.48016832410236
8,1549,0.5240839933811209
8,1710,0.4920603719222253
8,1788,0.48630665349972513
8,1874,0.4835342856492483
8,1982,0.4744253815901226
8,2183,0.49408476336991314
8,2221,0.4598006063896415
8,2544,0.4939228957060915
8,2556,0.48489119451469953
9,65,0.33682528172034887
9,263,0.24981453232612671
9,310,0.27724413130911474
9,390,0.4236703077076881
9,416,0.3220037870984518
9,458,0.3342663392649178
9,583,0.27217487841072985
9,887,0.3031866163694159
9,1122,0.33246174307248
9,1145,0.3379610351010336
9,1186,0.33875328326731446
9,2306,0.3432004164495116
9,2343,0.326714464840712
9,2381,0.28782989597388986
9,2443,0.25358990162629125
9,2552,0.327945705963825
9,2607,0.4413425355845777
10,20,0.4479384996761202
10,22,0.2287942002188914
10,108,0.30821936733150335
10,110,0.2675727286225458
10,147,0.23224488626731388
10,150,0.38563964644817206
10,169,0.24931584019166808
10,265,0.29945260917082983
10,281,0.26127737690471464
10,304,0.24127495619107853
10,778,0.24336062980274165
10,779,0.4036174750219036
10,942,0.22679249591507122
10,1016,0.24347687907484417
10,1068,0.23953037702822377
10,1224,0.26392194202396924
10,1228,0.26685371458410134
10,1333,0.3341129439227226
10,1397,0.2998403384602961
10,1543,0.2670259882036864
10,1674,0.4150719181569763
10,1679,0.44913779956443767
10,1849,0.21018196287199453
10,2028,0.29817093496651426
10,2501,0.2630853408460304
10,2584,0.2972965737550243
11,44,0.29112304523947996
11,111,0.2993177969169192
11,173,0.34288013031234665
11,214,0.29193716914884715
11,224,0.3654851473140789
11,233,0.2975202018530312
11,234,0.2591157611066722
11,256,0.3003034740318846
11,348,0.15333833016223186
11,359,0.35294136614871785
11,471,0.32436871398178213
11,489,0.3403586142564473
11,506,0.37543954325540596
11,599,0.2801131003601208
11,755,0.33533906389579204
11,814,0.2743115019840944
11,1024,0.36454054724839957
11,1036,0.37791524509024343
11,1051,0.28945655517829716
11,1069,0.3438855363642528
11,1273,0.228404917617412
11,1323,0.456504087108459
11,1454,0.5164773029511069
11,1563,0.31977164374226985
11,1638,0.3093521787367365
11,1719,0.20816351392542487
11,1732,0.2882354321226962
11,1737,0.38761317022162467
11,1763,0.4619030885850077
11,1813,0.30784940095861735
11,1904,0.3323105001582606
11,1913,0.2863052516044188
11,2041,0.3333709804494902
11,2119,0.2331413621893067
11,2122,0.3539538188853817
11,2191,0.3350318798226749
11,2199,0.2706811456050149
11,2228,0.2922254721357145
11,2282,0.3281196137004331
11,2609,0.31689367437829496
11,2636,0.296226863693853
11,2688,0.2576490134294763
12,176,0.369121707304239
12,293,0.4157434957520957
12,452,0.4436445288922205
12,499,0.38260436048454216
12,531,0.3971152062418406
12,537,0.3744073888848902
12,690,0.42213195297096784
12,699,0.31833794454473296
12,891,0.37503515130808407
12,1254,0.4566292719585098
12,1318,0.3736499965140172
12,1354,0.3332275613334176
12,1364,0.3367600960335938
12,1394,0.3130533595573215
12,1460,0.289166420262154
12,1753,0.3831356796963744
12,1897,0.45507907485292776
12,2083,0.3867059014963753
12,2328,0.3880130909655105
12,2333,0.28842135931278967
12,2450,0.3243009541944841
12,2609,0.37911495825087793
12,2642,0.3704758517685055
12,2678,0.4596731560663839
13,100,0.12680437648106213
13,101,0.13660485563421565
13,194,0.15205564807291616
13,207,0.157286706022144
13,391,0.13389642077107589
13,399,0.18075794357657837
13,444,0.15371587127928765
13,515,0.2669385454552007
13,590,0.15295348146097887
13,720,0.11767966757330406
13,804,0.1498019638704956
13,915,0.15568258779892385
13,1049,0.1646210706140373
13,1125,0.15552747349000073
13,1137,0.15042293075969737
13,1514,0.15540805945562663
13,1520,0.16814364070276766
13,1627,0.1381411995626527
13,1831,0.1534038822602477
13,1999,0.17499089962033076
13,2519,0.13943143827729587
14,109,0.45637495325027067
14,687,0.4481711158359074
14,726,0.48716428671997514
14,857,0.4639286021720137
14,862,0.46651298104839
14,903,0.4783568269296712
14,1089,0.33769447222246407
14,1166,0.41701495442490755
14,1419,0.34692124516918943
14,1488,0.48534070199652835
14,1801,0.4083002976938469
14,1874,0.41230826947155386
14,2210,0.42054912822323587
14,2277,0.4273331932999598
14,2382,0.44134314711485767
15,195,0.3697194076232043
15,393,0.4037831988837477
15,407,0.4105628150849341
15,529,0.3938983705839666
15,569,0.4556606041359258
15,836,0.4038426692592989
15,1154,0.4012969379066992
15,1196,0.39869760713713354
15,1200,0.4112465930101721
15,1423,0.5047543582134539
15,1455,0.45296109988317756
15,1607,0.42072404432278143
15,1747,0.32656036934095645
15,2053,0.406416472118278
15,2064,0.49013040120837603
15,2259,0.34883181505742633
15,2396,0.40973308698509847
15,2420,0.470525676543997
15,2423,0.36114472198790726
15,2493,0.39177126574754806
16,601,0.2584879343398385
16,671,0.2632925965132076
16,677,0.2660337986093061
16,827,0.2508875368990996
16,991,0.23959515139470866
16,1110,0.2689948932374786
16,1365,0.26197450261237876
16,1626,0.25816136440059334
16,1643,0.2272750947080534
16,1809,0.2484676608127614
16,2090,0.2643938141284744
16,2138,0.27185418171790976
16,2376,0.2531566399489702
16,2409,0.24135578023438242
16,2612,0.27102200205889027
17,84,0.5290984040954555
17,199,0.46428697619677617
17,215,0.5271867344796466
17,511,0.4885086508845724
17,812,0.5224163023270603
17,1107,0.5373062696542926
17,1389,0.46745957861526066
17,1426,0.4944089966173325
17,1433,0.5248937480434193
17,1488,0.5161939695844844
17,1656,0.5406649342963148
17,2184,0.5136559742712394
17,2254,0.47531703453058716
17,2338,0.5258760524910139
17,2419,0.42856043204294214
18,97,0.12984888833006059
18,100,0.137384477025426
18,118,0.2519667666706631
18,262,0.145391928161135
18,277,0.1320938212932825
18,282,0.12645496205427098
18,396,0.1643009551318767
18,606,0.09937590830456544
18,618,0.09444987397711424
18,679,0.12331122173503184
18,683,0.11961474831994534
18,715,0.08727854713943883
18,753,0.1375575452918958
18,791,0.11645182859379943
18,804,0.13245376366672534
18,808,0.09278068981969378
18,811,0.18163346894145083
18,939,0.15699166689636324
18,952,0.1102301075574631
18,972,0.10501818131988261
18,974,0.1292167018837962
18,1090,0.10255905967216061
18,1096,0.16753945983575635
18,1258,0.10346457517067931
18,1290,0.15582061777667155
18,1297,0.10470302688177935
18,1362,0.10296095621903789
18,1411,0.1152171309425919
18,1415,0.19166798065153967
18,1430,0.13602410258018405
18,1605,0.12835974730905153
18,1689,0.08856903738353694
18,1690,0.15110816862598098
18,1804,0.1307060103959684
18,1805,0.11367003704796819
18,1850,0.0759284147054019
18,1969,0.10332551337129336
18,2107,0.07523685751818543
18,2123,0.19044618713953265
18,2142,0.14820752118713165
18,2258,0.15313960789011294
18,2270,0.1062499429044852
18,2311,0.08111774479964995
18,2388,0.11395237489810872
18,2490,0.09292698929365728
18,2543,0.09057346374817543
18,2577,0.1182545688035187
18,2581,0.11276454459733143
18,2588,0.10438277172763566
18,2619,0.15589738648676477
18,2640,0.11269745090491778
18,2646,0.12322409861952333
18,2673,0.12360380558934969
18,2687,0.08828791088504917
18,2695,0.14343309997261766
19,59,0.31069443084103787
19,238,0.39607825245794936
19,288,0.39596912807062556
19,327,0.43490413918175463
19,389,0.4635238324818748
19,758,0.4594235518869376
19,919,0.3891439184995823
19,1229,0.45291092645145137
19,1286,0.33318614208618325
19,1354,0.3765822116916312
19,1438,0.3704844973866863
19,1473,0.3825786185138079
19,1707,0.39069153387362265
19,1796,0.38627543118524343
19,2080,0.38667412363137765
19,2117,0.3636085463560609
19,2125,0.37398186194241034
19,2200,0.37372499960572525
19,2211,0.4591737337394124
19,2330,0.4510052841956037
19,2352,0.4549247161888843
19,2384,0.29050875334512827
20,110,0.3773461144002678
20,259,0.3780971149954909
20,281,0.3394737278600509
20,290,0.4242528967772482
20,795,0.45888529652351273
20,942,0.3639431776332871
20,1224,0.434307079828846
20,1356,0.29266487680282705
20,1534,0.4589957579253656
20,1543,0.41988949738601034
20,1835,0.44401344933903464
20,2028,0.4043985797412514
20,2057,0.3989707597320218
20,2584,0.4341293502821436
21,92,0.3079787250305188
21,249,0.20665375230550553
21,257,0.22914356959380255
21,261,0.30808334389855785
21,419,0.16797167893844722
21,467,0.20541770718611452
21,521,0.32002586001995525
21,603,0.22239202129472269
21,651,0.24077417024762704
21,695,0.2926857480299182
21,716,0.22812219050565485
21,822,0.1557314587892541
21,936,0.20115823774899466
21,947,0.33324526484073946
21,1026,0.3526680184798193
21,1085,0.2198131685064857
21,1424,0.31306816001007254
21,1462,0.20847361687093047
21,1573,0.27155119965374186
21,1578,0.2855805519201562
21,1614,0.27877150803312145
21,1618,0.20155188094140386
21,1710,0.25937666632888323
21,1788,0.31088272549168394
21,1822,0.2406353071909484
21,1955,0.1961179599467363
21,2116,0.2595992261919665
21,2193,0.24395460177526018
21,2208,0.2386354385398184
21,2348,0.2420999162196581
21,2383,0.2700514135326555
21,2445,0.27863544364348036
21,2545,0.2879550693274493
21,2652,0.23016361298293397
22,108,0.3604488487546138
22,164,0.25239157866460116
22,169,0.25164543161806086
22,225,0.31924139919029804
22,326,0.17969743029102792
22,370,0.24783368207124168
22,375,0.35085977964098014
22,526,0.20205261361571847
22,645,0.2052806029573384
22,653,0.24820613397954616
22,778,0.20834514856504205
22,779,0.4035875186222445
22,824,0.2247943816874859
22,885,0.33335837286950376
22,942,0.2928806557224255
22,946,0.23866791831575862
22,1073,0.2145649780051766
22,1148,0.2934849175817035
22,1333,0.35549976232164604
22,1534,0.3377071425234849
22,1674,0.34135045923181584
22,1875,0.25455237615679127
22,2028,0.3143552173468406
22,2051,0.2731089126641565
22,2081,0.1983019547462591
22,2088,0.4625655964048919
22,2100,0.292347581783452
22,2173,0.2313453990237243
22,2269,0.20724227494382697
22,2463,0.25043151134692987
22,2501,0.20693614375915415
22,2584,0.26648527366985997
22,2648,0.2534473477944028
22,2682,0.2643350129572617
23,128,0.4078802272800064
23,393,0.4063792044705977
23,507,0.4164018102706767
23,529,0.3795467829816822
23,543,0.42950612986952574
23,676,0.39005984577368813
23,836,0.342940575501248
23,947,0.3987449578222899
23,1358,0.3234560379485316
23,1450,0.4224718814563615
23,1464,0.3977884874471652
23,1977,0.4172009078852842
23,2073,0.3152244153554007
23,2300,0.40495890449240024
23,2423,0.4240331093245383
23,2497,0.44471010802499134
23,2517,0.5943415586908345
24,38,0.16467642159406293
24,87,0.15593336244692924
24,350,0.19004357523226212
24,443,0.18085878807476352
24,596,0.1736408396780279
24,604,0.21355605504604736
24,605,0.1351576382331784
24,629,0.27236511823929976
24,664,0.21629914804449157
24,763,0.1797770486516972
24,991,0.22948994229879793
24,1020,0.1663760002491207
24,1365,0.180245596831076
24,1514,0.1724160528856974
24,1585,0.17875404310831688
24,1599,0.1887789738568706
24,1748,0.21489790788253793
24,1770,0.20358716177137848
24,1809,0.2257464548557564
24,1957,0.16447881370264317
24,2090,0.1856372315421686
24,2099,0.23605064948749999
24,2161,0.21437009657325512
24,2252,0.2415327714077541
24,2278,0.18181881935699362
24,2379,0.2200777041463422
24,2472,0.2010128853297224
24,2575,0.19404082495966335
24,2582,0.24099235008441744
24,2658,0.14385452464730875
24,2684,0.16015601705989646
25,164,0.3170128260731542
25,261,0.31991412453042123
25,435,0.34352526388645566
25,723,0.3406041874962862
25,778,0.3038054419416356
25,795,0.30480619956761545
25,882,0.34237530301916386
25,885,0.3363879470589741
25,902,0.3018782122008907
25,1013,0.2929277771636306
25,1424,0.32816796936510406
25,1543,0.272846561817638
25,1577,0.38152650833595547
25,1934,0.30863845781335275
25,1971,0.23824749712295934
25,2051,0.2949540103742876
25,2081,0.33292234761729034
25,2584,0.32343813019245793
25,2593,0.28269007090974574
25,2655,0.3124380172372544
26,221,0.3761734819710517
26,609,0.3130020822820003
26,881,0.43304471080579165
26,959,0.3201822161541462
26,1084,0.27081028363921344
26,1089,0.4192557705354386
26,1093,0.32601886436940686
26,1095,0.2668192155796778
26,1126,0.2934022183475785
26,1163,0.2850388034176202
26,1208,0.34412174804190887
26,1450,0.341847954172085
26,1470,0.30862200634937464
26,1617,0.3215702803694207
26,1732,0.3179863711005424
26,1896,0.44470570014173383
26,2235,0.4283944523682701
26,2300,0.32453316052688674
26,2395,0.3114456965865655
26,2447,0.30476776496820457
26,2542,0.32105593709875835
26,2546,0.4549410527780947
26,2629,0.3002282671333406
27,50,0.3220991760763571
27,66,0.32741986560157943
27,241,0.31589302582977985
27,251,0.30535477449291903
27,336,0.3133068427290625
27,378,0.3152695696680635
27,395,0.3058055741532498
27,447,0.4190543069391113
27,471,0.3223508910679088
27,506,0.38450972984181386
27,631,0.2817479482662707
27,757,0.2983872538760637
27,876,0.2742301728586778
27,1000,0.28687799198294817
27,1128,0.334409609313012
27,1247,0.3271012013984138
27,1451,0.3702846070696184
27,1529,0.21964541933319182
27,1756,0.3438911579130228
27,1762,0.3317040149831394
27,2189,0.29449106202715225
27,2199,0.30156068080282306
27,2310,0.28367084161828615
27,2395,0.24890320466555538
27,2403,0.36873162482185795
27,2439,0.3948926569957887
27,2672,0.3426711690494846
27,2683,0.3095001167055663
28,53,0.1793674946246414
28,277,0.17090166175398303
28,427,0.17072080339021056
28,558,0.14307970156083116
28,635,0.17196927616621116
28,1035,0.18065861573958608
28,1047,0.1749519666040279
28,1211,0.16862494219667412
28,1373,0.1726175998172086
28,1709,0.16631464377973615
28,2022,0.1579438116163937
28,2244,0.12810929798748827
28,2292,0.17122725305830444
28,2474,0.1749072310003138
28,2543,0.15605836268470918
29,89,0.30175613048311944
29,300,0.3606954899684198
29,385,0.3040962715479042
29,403,0.2773732975806491
29,481,0.22884713988929806
29,508,0.2746262937669638
29,633,0.3160799844803577
29,718,0.2956969775534526
29,724,0.28437257750913836
29,806,0.2997882556563416
29,814,0.26399860873556813
29,895,0.30171911062691825
29,901,0.3026019251556793
29,1086,0.37191960592704565
29,1113,0.2178910127967154
29,1222,0.35987835881110064
29,1231,0.4031128613374607
29,1409,0.2418635275975466
29,1442,0.2514817898967636
29,1445,0.35917516646450065
29,1470,0.31381957473682576
29,1620,0.3335210179517806
29,1638,0.34144083538267456
29,1639,0.22595402094136363
29,1732,0.2759801335135611
29,1791,0.3469940665536121
29,1930,0.28522398000780014
29,2020,0.32074155948468763
29,2171,0.2743356389045887
29,2290,0.3304983157962944
29,2300,0.2771776780787384
29,2322,0.27037022341421435
29,2350,0.34309952174577096
29,2476,0.31203423154852605
29,2529,0.2794650801162335
29,2660,0.34656845867953545
30,179,0.39322005262709314
30,244,0.45127609265894364
30,264,0.44425253399666575
30,413,0.398791280429174
30,455,0.4385849323568374
30,552,0.2756288933163664
30,728,0.4076229570402303
30,766,0.39583147952984465
30,893,0.40788956312079483
30,922,0.3556596046842012
30,1240,0.42823906138346235
30,1318,0.4530295852920987
30,1423,0.4908199700830925
30,1503,0.4247874938031796
30,1611,0.3887869199276729
30,2150,0.4285066785153492
31,186,0.10966030991675257
31,558,0.10608683731040158
31,962,0.13437150867002978
31,971,0.09925115881257274
31,988,0.10208602163482783
31,1432,0.09957976424838622
31,1519,0.09943292668492465
31,1542,0.1062994564721067
31,1625,0.10860958997905346
31,1645,0.10796502708366384
31,1755,0.09390922792884626
31,1908,0.09964224795740562
31,1927,0.2937344639251519
31,2241,0.09296220805404287
31,2244,0.10493692758674378
31,2264,0.0893303508377038
31,2327,0.10522823293194106
31,2525,0.09049545925931379
32,115,0.5160889546184024
32,394,0.4286323387206882
32,513,0.5990624131888732
32,663,0.5494275183630503
32,1181,0.4696579968249095
32,1189,0.5584216011553622
32,1242,0.5498595128292976
32,1275,0.47955119068913776
32,1306,0.5040837679897989
32,1392,0.5491311920068416
32,2032,0.5440147691507211
32,2261,0.5540002037647762
32,2336,0.4775956275792558
32,2505,0.5547908601802523
32,2589,0.5297878818098893
32,2608,0.48462008647007904
33,96,0.26790949071047954
33,131,0.29156816854358114
33,386,0.2589517678322032
33,521,0.3212324748014471
33,585,0.25923961582878874
33,651,0.25078694026831516
33,663,0.2911923790767763
33,694,0.25845497480390056
33,780,0.25605776596288143
33,947,0.3221445382623913
33,978,0.24156501465011204
33,1180,0.26032805974606077
33,1195,0.2688110602260425
33,1324,0.285204004062117
33,1573,0.27196085788247815
33,1591,0.29428350998717023
33,1614,0.2874282600533503
33,1673,0.20857783302043176
33,1710,0.2733793413040343
33,1822,0.26124758595991626
33,1955,0.2337887062482611
33,1974,0.27514301758794213
33,2115,0.2849295893614626
33,2183,0.26104375004655744
33,2192,0.2280917572147877
33,2193,0.26187034295477296
33,2297,0.3273411392266087
33,2303,0.28953031867249035
33,2368,0.32529419382761626
33,2383,0.2855940680676452
33,2509,0.24049330175245887
33,2526,0.3171199669718795
34,223,0.14415605036339396
34,229,0.20206827072278366
34,320,0.19453623485822302
34,443,0.167269661293457
34,444,0.14960236928699744
34,613,0.13457062206436055
34,837,0.15005128831183356
34,847,0.12723401391092115
34,989,0.16833554375490156
34,1137,0.14484291645259406
34,1179,0.16697566204544256
34,1206,0.10687838331109978
34,1226,0.18395057416992666
34,1294,0.19275740331919677
34,1309,0.13401695147917292
34,1353,0.14763192890716448
34,1384,0.11578733593069301
34,1435,0.12790026427520806
34,1588,0.16318328510052527
34,1633,0.17593201429417893
34,1805,0.14745848658080718
34,2008,0.13283417352901505
34,2030,0.13632613396172255
34,2097,0.1738792647464633
34,2164,0.1777913719276567
34,2172,0.15779645034447765
34,2186,0.17024586543795184
34,2272,0.14783164741721366
34,2344,0.15970588393711482
34,2565,0.2537252946738784
34,2628,0.16935628738976327
35,80,0.5476012996031114
35,116,0.5898591385602447
35,162,0.5331035745515899
35,323,0.5180818510464826
35,941,0.5610430344697845
35,1012,0.5683767606763179
35,1028,0.5164938467008315
35,1159,0.5598402901730535
35,1328,0.5533214974057874
35,1388,0.5678156176554148
35,1593,0.5685407409734196
35,2016,0.553514780275137
35,2187,0.5012657596630119
35,2250,0.5341214177657423
35,2296,0.5394923826356204
35,2539,0.5731580345003044
36,97,0.12643823610488125
36,275,0.10697914464696567
36,328,0.19227970643782566
36,331,0.09317199391832898
36,363,0.20254649521039014
36,437,0.09851856675101
36,438,0.1539424022442334
36,456,0.14397356652675308
36,523,0.17643197939035948
36,618,0.11044241881593186
36,686,0.2966024605666203
36,715,0.12054030735923382
36,811,0.16996042835969982
36,1080,0.21377387081537913
36,1164,0.15925631231378046
36,1303,0.18511239512669597
36,1496,0.11665245637497546
36,1510,0.11881270551423084
36,1559,0.11175238593233328
36,1660,0.27119176708896253
36,1669,0.12409106162127759
36,1700,0.12873386302159062
36,1969,0.094212848667796
36,2025,0.17344068967809234
36,2086,0.10950564536412455
36,2344,0.16501795210743675
36,2378,0.11085013039464575
36,2380,0.10925879532902882
36,2496,0.17797449965708956
36,2506,0.18380827253759002
36,2640,0.11735222352083019
37,434,0.4169104658140975
37,625,0.2851954907168488
37,626,0.3866880820935913
37,739,0.3286002172809951
37,799,0.37238812882808203
37,807,0.40960724341148935
37,912,0.4098396599836063
